 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/11B_in_au.txt

 Ion = Boron        [5] , Mass = 11.00931 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Boron        [5] , Mass = 11.00931 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.885E-02  2.667E-02      20 A        42 A        30 A   
   1.10 keV   1.977E-02  2.754E-02      21 A        44 A        32 A   
   1.20 keV   2.065E-02  2.833E-02      22 A        46 A        33 A   
   1.30 keV   2.149E-02  2.906E-02      23 A        48 A        35 A   
   1.40 keV   2.230E-02  2.974E-02      24 A        50 A        36 A   
   1.50 keV   2.309E-02  3.037E-02      26 A        53 A        38 A   
   1.60 keV   2.384E-02  3.097E-02      27 A        55 A        39 A   
   1.70 keV   2.458E-02  3.152E-02      28 A        56 A        41 A   
   1.80 keV   2.529E-02  3.204E-02      29 A        58 A        42 A   
   2.00 keV   2.666E-02  3.300E-02      31 A        62 A        45 A   
   2.25 keV   2.828E-02  3.406E-02      34 A        67 A        48 A   
   2.50 keV   2.980E-02  3.500E-02      37 A        71 A        51 A   
   2.75 keV   3.126E-02  3.583E-02      39 A        75 A        55 A   
   3.00 keV   3.265E-02  3.658E-02      42 A        80 A        58 A   
   3.25 keV   3.398E-02  3.725E-02      44 A        84 A        61 A   
   3.50 keV   3.527E-02  3.787E-02      47 A        88 A        64 A   
   3.75 keV   3.650E-02  3.843E-02      49 A        91 A        66 A   
   4.00 keV   3.770E-02  3.894E-02      52 A        95 A        69 A   
   4.50 keV   3.999E-02  3.984E-02      57 A       103 A        75 A   
