 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/143Te_in_au.txt

 Ion = Tellurium    [52] , Mass = 142.9565 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tellurium    [52] , Mass = 142.9565 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.930E-03  4.453E-01      10 A         9 A         7 A   
   1.10 keV   1.041E-02  4.688E-01      10 A        10 A         7 A   
   1.20 keV   1.088E-02  4.912E-01      11 A        10 A         8 A   
   1.30 keV   1.132E-02  5.125E-01      11 A        10 A         8 A   
   1.40 keV   1.175E-02  5.330E-01      12 A        10 A         8 A   
   1.50 keV   1.216E-02  5.526E-01      12 A        11 A         8 A   
   1.60 keV   1.256E-02  5.715E-01      12 A        11 A         8 A   
   1.70 keV   1.295E-02  5.897E-01      13 A        11 A         9 A   
   1.80 keV   1.332E-02  6.073E-01      13 A        12 A         9 A   
   2.00 keV   1.404E-02  6.408E-01      14 A        12 A         9 A   
   2.25 keV   1.489E-02  6.800E-01      15 A        13 A        10 A   
   2.50 keV   1.570E-02  7.166E-01      15 A        13 A        10 A   
   2.75 keV   1.647E-02  7.510E-01      16 A        14 A        11 A   
   3.00 keV   1.720E-02  7.835E-01      17 A        14 A        11 A   
   3.25 keV   1.790E-02  8.142E-01      17 A        15 A        11 A   
   3.50 keV   1.858E-02  8.435E-01      18 A        15 A        12 A   
   3.75 keV   1.923E-02  8.714E-01      19 A        16 A        12 A   
   4.00 keV   1.986E-02  8.982E-01      19 A        16 A        12 A   
   4.50 keV   2.106E-02  9.484E-01      20 A        17 A        13 A   
