 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/15N_in_au.txt

 Ion = Nitrogen     [7] , Mass = 15.00011 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nitrogen     [7] , Mass = 15.00011 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.071E-02  4.238E-02      17 A        33 A        24 A   
   1.10 keV   2.172E-02  4.389E-02      18 A        35 A        25 A   
   1.20 keV   2.269E-02  4.529E-02      19 A        36 A        26 A   
   1.30 keV   2.361E-02  4.659E-02      19 A        38 A        27 A   
   1.40 keV   2.450E-02  4.780E-02      20 A        40 A        29 A   
   1.50 keV   2.536E-02  4.893E-02      21 A        41 A        30 A   
   1.60 keV   2.619E-02  5.000E-02      22 A        43 A        31 A   
   1.70 keV   2.700E-02  5.101E-02      23 A        44 A        32 A   
   1.80 keV   2.778E-02  5.196E-02      24 A        46 A        33 A   
   2.00 keV   2.929E-02  5.371E-02      26 A        48 A        35 A   
   2.25 keV   3.106E-02  5.568E-02      28 A        52 A        38 A   
   2.50 keV   3.274E-02  5.744E-02      30 A        55 A        40 A   
   2.75 keV   3.434E-02  5.902E-02      32 A        58 A        42 A   
   3.00 keV   3.587E-02  6.046E-02      34 A        61 A        45 A   
   3.25 keV   3.733E-02  6.177E-02      36 A        64 A        47 A   
   3.50 keV   3.874E-02  6.297E-02      38 A        67 A        49 A   
   3.75 keV   4.010E-02  6.408E-02      40 A        70 A        51 A   
   4.00 keV   4.142E-02  6.511E-02      42 A        73 A        53 A   
   4.50 keV   4.393E-02  6.695E-02      46 A        79 A        57 A   
