 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/192Bi_in_au.txt

 Ion = Bismuth      [83] , Mass = 191.9855 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bismuth      [83] , Mass = 191.9855 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.339E-02  5.495E-01      10 A         8 A         6 A   
   1.10 keV   3.502E-02  5.802E-01      10 A         8 A         6 A   
   1.20 keV   3.658E-02  6.094E-01      11 A         9 A         6 A   
   1.30 keV   3.808E-02  6.374E-01      11 A         9 A         6 A   
   1.40 keV   3.951E-02  6.643E-01      11 A         9 A         7 A   
   1.50 keV   4.090E-02  6.903E-01      12 A         9 A         7 A   
   1.60 keV   4.224E-02  7.153E-01      12 A        10 A         7 A   
   1.70 keV   4.354E-02  7.396E-01      12 A        10 A         7 A   
   1.80 keV   4.480E-02  7.630E-01      12 A        10 A         7 A   
   2.00 keV   4.723E-02  8.080E-01      13 A        10 A         8 A   
   2.25 keV   5.009E-02  8.608E-01      14 A        11 A         8 A   
   2.50 keV   5.280E-02  9.104E-01      14 A        11 A         8 A   
   2.75 keV   5.538E-02  9.574E-01      15 A        12 A         9 A   
   3.00 keV   5.784E-02  1.002E+00      16 A        12 A         9 A   
   3.25 keV   6.020E-02  1.044E+00      16 A        13 A         9 A   
   3.50 keV   6.248E-02  1.085E+00      17 A        13 A         9 A   
   3.75 keV   6.467E-02  1.124E+00      17 A        13 A        10 A   
   4.00 keV   6.679E-02  1.161E+00      18 A        14 A        10 A   
   4.50 keV   7.084E-02  1.232E+00      19 A        14 A        10 A   
