 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/221Ac_in_au.txt

 Ion = Actinium     [89] , Mass = 221.0156 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Actinium     [89] , Mass = 221.0156 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.067E-02  5.745E-01      10 A         8 A         6 A   
   1.10 keV   3.217E-02  6.069E-01      11 A         8 A         6 A   
   1.20 keV   3.360E-02  6.378E-01      11 A         8 A         6 A   
   1.30 keV   3.497E-02  6.675E-01      11 A         9 A         6 A   
   1.40 keV   3.629E-02  6.960E-01      12 A         9 A         7 A   
   1.50 keV   3.756E-02  7.235E-01      12 A         9 A         7 A   
   1.60 keV   3.879E-02  7.501E-01      12 A         9 A         7 A   
   1.70 keV   3.999E-02  7.758E-01      13 A        10 A         7 A   
   1.80 keV   4.115E-02  8.008E-01      13 A        10 A         7 A   
   2.00 keV   4.337E-02  8.485E-01      13 A        10 A         7 A   
   2.25 keV   4.600E-02  9.048E-01      14 A        11 A         8 A   
   2.50 keV   4.849E-02  9.577E-01      15 A        11 A         8 A   
   2.75 keV   5.086E-02  1.008E+00      15 A        12 A         8 A   
   3.00 keV   5.312E-02  1.055E+00      16 A        12 A         9 A   
   3.25 keV   5.529E-02  1.101E+00      17 A        12 A         9 A   
   3.50 keV   5.738E-02  1.144E+00      17 A        13 A         9 A   
   3.75 keV   5.939E-02  1.186E+00      18 A        13 A         9 A   
   4.00 keV   6.134E-02  1.226E+00      18 A        13 A        10 A   
   4.50 keV   6.506E-02  1.302E+00      19 A        14 A        10 A   
