 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/35Cl_in_au.txt

 Ion = Chlorine     [17] , Mass = 34.96885 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chlorine     [17] , Mass = 34.96885 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.553E-02  1.310E-01      12 A        18 A        13 A   
   1.10 keV   2.678E-02  1.367E-01      12 A        18 A        14 A   
   1.20 keV   2.797E-02  1.421E-01      13 A        19 A        14 A   
   1.30 keV   2.911E-02  1.471E-01      13 A        20 A        15 A   
   1.40 keV   3.021E-02  1.519E-01      14 A        21 A        15 A   
   1.50 keV   3.127E-02  1.564E-01      14 A        21 A        16 A   
   1.60 keV   3.230E-02  1.607E-01      15 A        22 A        16 A   
   1.70 keV   3.329E-02  1.648E-01      15 A        23 A        17 A   
   1.80 keV   3.425E-02  1.687E-01      16 A        24 A        17 A   
   2.00 keV   3.611E-02  1.761E-01      17 A        25 A        18 A   
   2.25 keV   3.830E-02  1.845E-01      18 A        26 A        20 A   
   2.50 keV   4.037E-02  1.921E-01      19 A        28 A        21 A   
   2.75 keV   4.234E-02  1.992E-01      21 A        29 A        22 A   
   3.00 keV   4.422E-02  2.058E-01      22 A        31 A        23 A   
   3.25 keV   4.603E-02  2.119E-01      23 A        32 A        24 A   
   3.50 keV   4.777E-02  2.176E-01      24 A        33 A        25 A   
   3.75 keV   4.944E-02  2.229E-01      25 A        35 A        26 A   
   4.00 keV   5.106E-02  2.280E-01      26 A        36 A        27 A   
   4.50 keV   5.416E-02  2.372E-01      28 A        38 A        28 A   
