 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/56V_in_au.txt

 Ion = Vanadium     [23] , Mass = 55.95042 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Vanadium     [23] , Mass = 55.95042 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.022E-02  2.080E-01      11 A        14 A        10 A   
   1.10 keV   2.121E-02  2.176E-01      11 A        14 A        11 A   
   1.20 keV   2.215E-02  2.267E-01      12 A        15 A        11 A   
   1.30 keV   2.305E-02  2.353E-01      12 A        16 A        12 A   
   1.40 keV   2.392E-02  2.434E-01      13 A        16 A        12 A   
   1.50 keV   2.476E-02  2.511E-01      13 A        17 A        13 A   
   1.60 keV   2.557E-02  2.585E-01      14 A        17 A        13 A   
   1.70 keV   2.636E-02  2.656E-01      14 A        18 A        13 A   
   1.80 keV   2.713E-02  2.724E-01      15 A        18 A        14 A   
   2.00 keV   2.859E-02  2.852E-01      16 A        19 A        14 A   
   2.25 keV   3.033E-02  2.999E-01      17 A        20 A        15 A   
   2.50 keV   3.197E-02  3.135E-01      18 A        21 A        16 A   
   2.75 keV   3.353E-02  3.260E-01      19 A        22 A        17 A   
   3.00 keV   3.502E-02  3.377E-01      20 A        23 A        18 A   
   3.25 keV   3.645E-02  3.486E-01      20 A        24 A        18 A   
   3.50 keV   3.783E-02  3.589E-01      21 A        25 A        19 A   
   3.75 keV   3.915E-02  3.686E-01      22 A        26 A        20 A   
   4.00 keV   4.044E-02  3.778E-01      23 A        27 A        21 A   
   4.50 keV   4.289E-02  3.948E-01      25 A        29 A        22 A   
