 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/60Ni_in_au.txt

 Ion = Nickel       [28] , Mass = 59.93079 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 59.93079 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.141E-03  2.340E-01      10 A        13 A        10 A   
   1.10 keV   8.539E-03  2.451E-01      11 A        14 A        11 A   
   1.20 keV   8.919E-03  2.556E-01      11 A        14 A        11 A   
   1.30 keV   9.283E-03  2.656E-01      12 A        15 A        11 A   
   1.40 keV   9.633E-03  2.751E-01      12 A        16 A        12 A   
   1.50 keV   9.971E-03  2.842E-01      13 A        16 A        12 A   
   1.60 keV   1.030E-02  2.928E-01      13 A        16 A        12 A   
   1.70 keV   1.062E-02  3.011E-01      13 A        17 A        13 A   
   1.80 keV   1.092E-02  3.091E-01      14 A        17 A        13 A   
   2.00 keV   1.151E-02  3.241E-01      15 A        18 A        14 A   
   2.25 keV   1.221E-02  3.415E-01      16 A        19 A        15 A   
   2.50 keV   1.287E-02  3.576E-01      17 A        20 A        15 A   
   2.75 keV   1.350E-02  3.725E-01      17 A        21 A        16 A   
   3.00 keV   1.410E-02  3.865E-01      18 A        22 A        17 A   
   3.25 keV   1.468E-02  3.996E-01      19 A        23 A        18 A   
   3.50 keV   1.523E-02  4.119E-01      20 A        24 A        18 A   
   3.75 keV   1.577E-02  4.236E-01      21 A        25 A        19 A   
   4.00 keV   1.628E-02  4.346E-01      22 A        26 A        19 A   
   4.50 keV   1.727E-02  4.552E-01      23 A        27 A        21 A   
