 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/115Cd_in_be.txt

 Ion = Cadmium      [48] , Mass = 114.9054 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 114.9054 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.371E-01  2.658E+00      40 A         8 A         6 A   
   1.10 keV   1.438E-01  2.780E+00      42 A         9 A         6 A   
   1.20 keV   1.502E-01  2.894E+00      43 A         9 A         6 A   
   1.30 keV   1.564E-01  3.002E+00      45 A         9 A         7 A   
   1.40 keV   1.623E-01  3.104E+00      46 A        10 A         7 A   
   1.50 keV   1.680E-01  3.201E+00      48 A        10 A         7 A   
   1.60 keV   1.735E-01  3.294E+00      49 A        10 A         7 A   
   1.70 keV   1.788E-01  3.382E+00      51 A        11 A         7 A   
   1.80 keV   1.840E-01  3.467E+00      52 A        11 A         8 A   
   2.00 keV   1.939E-01  3.627E+00      55 A        11 A         8 A   
   2.25 keV   2.057E-01  3.811E+00      58 A        12 A         9 A   
   2.50 keV   2.168E-01  3.980E+00      61 A        12 A         9 A   
   2.75 keV   2.274E-01  4.136E+00      64 A        13 A         9 A   
   3.00 keV   2.375E-01  4.282E+00      67 A        13 A        10 A   
   3.25 keV   2.472E-01  4.418E+00      70 A        14 A        10 A   
   3.50 keV   2.566E-01  4.545E+00      72 A        14 A        10 A   
   3.75 keV   2.656E-01  4.665E+00      75 A        15 A        11 A   
   4.00 keV   2.743E-01  4.779E+00      77 A        15 A        11 A   
   4.50 keV   2.909E-01  4.989E+00      82 A        16 A        12 A   
