 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/119I_in_be.txt

 Ion = Iodine       [53] , Mass = 118.9101 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iodine       [53] , Mass = 118.9101 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.409E-01  2.706E+00      38 A         8 A         6 A   
   1.10 keV   2.526E-01  2.832E+00      40 A         8 A         6 A   
   1.20 keV   2.639E-01  2.950E+00      42 A         9 A         6 A   
   1.30 keV   2.746E-01  3.063E+00      43 A         9 A         6 A   
   1.40 keV   2.850E-01  3.169E+00      45 A         9 A         6 A   
   1.50 keV   2.950E-01  3.271E+00      46 A         9 A         7 A   
   1.60 keV   3.047E-01  3.367E+00      47 A        10 A         7 A   
   1.70 keV   3.141E-01  3.460E+00      49 A        10 A         7 A   
   1.80 keV   3.232E-01  3.549E+00      50 A        10 A         7 A   
   2.00 keV   3.407E-01  3.717E+00      53 A        11 A         7 A   
   2.25 keV   3.613E-01  3.910E+00      56 A        11 A         8 A   
   2.50 keV   3.809E-01  4.088E+00      58 A        12 A         8 A   
   2.75 keV   3.995E-01  4.253E+00      61 A        12 A         9 A   
   3.00 keV   4.172E-01  4.407E+00      64 A        12 A         9 A   
   3.25 keV   4.343E-01  4.551E+00      66 A        13 A         9 A   
   3.50 keV   4.506E-01  4.686E+00      69 A        13 A        10 A   
   3.75 keV   4.665E-01  4.814E+00      71 A        14 A        10 A   
   4.00 keV   4.818E-01  4.935E+00      74 A        14 A        10 A   
   4.50 keV   5.110E-01  5.159E+00      78 A        15 A        11 A   
