 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/121Sn_in_be.txt

 Ion = Tin          [50] , Mass = 120.9042 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 120.9042 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.270E-01  2.642E+00      41 A         9 A         6 A   
   1.10 keV   1.332E-01  2.764E+00      42 A         9 A         6 A   
   1.20 keV   1.392E-01  2.879E+00      44 A         9 A         6 A   
   1.30 keV   1.448E-01  2.988E+00      46 A         9 A         7 A   
   1.40 keV   1.503E-01  3.091E+00      47 A        10 A         7 A   
   1.50 keV   1.556E-01  3.189E+00      49 A        10 A         7 A   
   1.60 keV   1.607E-01  3.283E+00      50 A        10 A         7 A   
   1.70 keV   1.656E-01  3.373E+00      52 A        11 A         7 A   
   1.80 keV   1.704E-01  3.459E+00      53 A        11 A         8 A   
   2.00 keV   1.797E-01  3.621E+00      56 A        11 A         8 A   
   2.25 keV   1.906E-01  3.807E+00      59 A        12 A         8 A   
   2.50 keV   2.009E-01  3.979E+00      62 A        12 A         9 A   
   2.75 keV   2.107E-01  4.138E+00      65 A        13 A         9 A   
   3.00 keV   2.200E-01  4.286E+00      68 A        13 A        10 A   
   3.25 keV   2.290E-01  4.425E+00      71 A        14 A        10 A   
   3.50 keV   2.377E-01  4.555E+00      73 A        14 A        10 A   
   3.75 keV   2.460E-01  4.678E+00      76 A        15 A        11 A   
   4.00 keV   2.541E-01  4.794E+00      79 A        15 A        11 A   
   4.50 keV   2.695E-01  5.010E+00      83 A        16 A        12 A   
