 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/141Ba_in_be.txt

 Ion = Barium       [56] , Mass = 140.9144 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Barium       [56] , Mass = 140.9144 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.150E-01  2.573E+00      43 A         9 A         6 A   
   1.10 keV   1.207E-01  2.697E+00      45 A         9 A         6 A   
   1.20 keV   1.260E-01  2.813E+00      47 A         9 A         6 A   
   1.30 keV   1.312E-01  2.923E+00      49 A        10 A         7 A   
   1.40 keV   1.361E-01  3.028E+00      50 A        10 A         7 A   
   1.50 keV   1.409E-01  3.128E+00      52 A        10 A         7 A   
   1.60 keV   1.455E-01  3.224E+00      53 A        10 A         7 A   
   1.70 keV   1.500E-01  3.316E+00      55 A        11 A         7 A   
   1.80 keV   1.543E-01  3.404E+00      56 A        11 A         8 A   
   2.00 keV   1.627E-01  3.570E+00      59 A        11 A         8 A   
   2.25 keV   1.726E-01  3.763E+00      62 A        12 A         8 A   
   2.50 keV   1.819E-01  3.941E+00      66 A        12 A         9 A   
   2.75 keV   1.908E-01  4.106E+00      69 A        13 A         9 A   
   3.00 keV   1.993E-01  4.261E+00      72 A        13 A        10 A   
   3.25 keV   2.074E-01  4.406E+00      74 A        14 A        10 A   
   3.50 keV   2.152E-01  4.543E+00      77 A        14 A        10 A   
   3.75 keV   2.228E-01  4.672E+00      80 A        15 A        11 A   
   4.00 keV   2.301E-01  4.795E+00      82 A        15 A        11 A   
   4.50 keV   2.440E-01  5.023E+00      87 A        16 A        12 A   
