 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/144Cs_in_be.txt

 Ion = Cesium       [55] , Mass = 143.9321 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cesium       [55] , Mass = 143.9321 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.249E-01  2.538E+00      44 A         9 A         6 A   
   1.10 keV   1.310E-01  2.660E+00      46 A         9 A         6 A   
   1.20 keV   1.369E-01  2.775E+00      47 A         9 A         6 A   
   1.30 keV   1.424E-01  2.883E+00      49 A         9 A         7 A   
   1.40 keV   1.478E-01  2.987E+00      51 A        10 A         7 A   
   1.50 keV   1.530E-01  3.086E+00      52 A        10 A         7 A   
   1.60 keV   1.580E-01  3.180E+00      54 A        10 A         7 A   
   1.70 keV   1.629E-01  3.270E+00      55 A        11 A         7 A   
   1.80 keV   1.676E-01  3.357E+00      57 A        11 A         8 A   
   2.00 keV   1.767E-01  3.522E+00      60 A        11 A         8 A   
   2.25 keV   1.874E-01  3.712E+00      63 A        12 A         8 A   
   2.50 keV   1.975E-01  3.887E+00      66 A        12 A         9 A   
   2.75 keV   2.072E-01  4.050E+00      69 A        13 A         9 A   
   3.00 keV   2.164E-01  4.202E+00      72 A        13 A        10 A   
   3.25 keV   2.252E-01  4.346E+00      75 A        14 A        10 A   
   3.50 keV   2.337E-01  4.480E+00      78 A        14 A        10 A   
   3.75 keV   2.419E-01  4.608E+00      81 A        15 A        11 A   
   4.00 keV   2.499E-01  4.729E+00      83 A        15 A        11 A   
   4.50 keV   2.650E-01  4.955E+00      88 A        16 A        11 A   
