 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/144Pm_in_be.txt

 Ion = Promethium   [61] , Mass = 143.9126 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Promethium   [61] , Mass = 143.9126 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.366E-01  2.613E+00      41 A         8 A         5 A   
   1.10 keV   2.481E-01  2.740E+00      43 A         8 A         6 A   
   1.20 keV   2.591E-01  2.860E+00      45 A         8 A         6 A   
   1.30 keV   2.697E-01  2.974E+00      46 A         9 A         6 A   
   1.40 keV   2.799E-01  3.082E+00      48 A         9 A         6 A   
   1.50 keV   2.897E-01  3.186E+00      49 A         9 A         6 A   
   1.60 keV   2.992E-01  3.285E+00      51 A         9 A         7 A   
   1.70 keV   3.084E-01  3.380E+00      52 A        10 A         7 A   
   1.80 keV   3.174E-01  3.471E+00      53 A        10 A         7 A   
   2.00 keV   3.345E-01  3.644E+00      56 A        10 A         7 A   
   2.25 keV   3.548E-01  3.844E+00      59 A        11 A         8 A   
   2.50 keV   3.740E-01  4.029E+00      62 A        11 A         8 A   
   2.75 keV   3.923E-01  4.201E+00      65 A        12 A         8 A   
   3.00 keV   4.097E-01  4.363E+00      68 A        12 A         9 A   
   3.25 keV   4.264E-01  4.515E+00      70 A        13 A         9 A   
   3.50 keV   4.425E-01  4.658E+00      73 A        13 A         9 A   
   3.75 keV   4.581E-01  4.794E+00      75 A        14 A        10 A   
   4.00 keV   4.731E-01  4.922E+00      78 A        14 A        10 A   
   4.50 keV   5.018E-01  5.163E+00      82 A        15 A        11 A   
