 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/188Pb_in_be.txt

 Ion = Lead         [82] , Mass = 187.9809 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 187.9809 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.465E-01  2.506E+00      43 A         7 A         5 A   
   1.10 keV   3.634E-01  2.636E+00      45 A         7 A         5 A   
   1.20 keV   3.796E-01  2.759E+00      47 A         8 A         5 A   
   1.30 keV   3.951E-01  2.876E+00      48 A         8 A         5 A   
   1.40 keV   4.100E-01  2.989E+00      50 A         8 A         6 A   
   1.50 keV   4.244E-01  3.096E+00      51 A         8 A         6 A   
   1.60 keV   4.383E-01  3.200E+00      53 A         9 A         6 A   
   1.70 keV   4.518E-01  3.299E+00      54 A         9 A         6 A   
   1.80 keV   4.649E-01  3.395E+00      56 A         9 A         6 A   
   2.00 keV   4.901E-01  3.578E+00      58 A         9 A         6 A   
   2.25 keV   5.198E-01  3.791E+00      61 A        10 A         7 A   
   2.50 keV   5.479E-01  3.990E+00      64 A        10 A         7 A   
   2.75 keV   5.746E-01  4.176E+00      67 A        11 A         7 A   
   3.00 keV   6.002E-01  4.351E+00      70 A        11 A         8 A   
   3.25 keV   6.247E-01  4.517E+00      72 A        12 A         8 A   
   3.50 keV   6.483E-01  4.675E+00      75 A        12 A         8 A   
   3.75 keV   6.710E-01  4.825E+00      77 A        12 A         9 A   
   4.00 keV   6.930E-01  4.968E+00      79 A        13 A         9 A   
   4.50 keV   7.351E-01  5.237E+00      84 A        13 A         9 A   
