 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/206Ac_in_be.txt

 Ion = Actinium     [89] , Mass = 206.0145 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Actinium     [89] , Mass = 206.0145 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.492E-01  2.446E+00      45 A         7 A         5 A   
   1.10 keV   3.662E-01  2.575E+00      47 A         7 A         5 A   
   1.20 keV   3.825E-01  2.697E+00      48 A         8 A         5 A   
   1.30 keV   3.981E-01  2.814E+00      50 A         8 A         5 A   
   1.40 keV   4.131E-01  2.926E+00      52 A         8 A         6 A   
   1.50 keV   4.276E-01  3.033E+00      53 A         8 A         6 A   
   1.60 keV   4.417E-01  3.136E+00      55 A         9 A         6 A   
   1.70 keV   4.552E-01  3.236E+00      56 A         9 A         6 A   
   1.80 keV   4.684E-01  3.332E+00      57 A         9 A         6 A   
   2.00 keV   4.938E-01  3.515E+00      60 A         9 A         6 A   
   2.25 keV   5.237E-01  3.729E+00      63 A        10 A         7 A   
   2.50 keV   5.521E-01  3.929E+00      66 A        10 A         7 A   
   2.75 keV   5.790E-01  4.117E+00      69 A        11 A         7 A   
   3.00 keV   6.048E-01  4.294E+00      72 A        11 A         8 A   
   3.25 keV   6.295E-01  4.461E+00      74 A        11 A         8 A   
   3.50 keV   6.532E-01  4.621E+00      77 A        12 A         8 A   
   3.75 keV   6.761E-01  4.773E+00      79 A        12 A         8 A   
   4.00 keV   6.983E-01  4.919E+00      81 A        12 A         9 A   
   4.50 keV   7.407E-01  5.192E+00      86 A        13 A         9 A   
