 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/41Ar_in_be.txt

 Ion = Argon        [18] , Mass = 40.9645 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 40.9645 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.487E-01  2.266E+00      32 A        10 A         7 A   
   1.10 keV   2.608E-01  2.334E+00      34 A        10 A         8 A   
   1.20 keV   2.724E-01  2.396E+00      36 A        11 A         8 A   
   1.30 keV   2.835E-01  2.453E+00      38 A        11 A         8 A   
   1.40 keV   2.942E-01  2.505E+00      39 A        11 A         9 A   
   1.50 keV   3.046E-01  2.554E+00      41 A        12 A         9 A   
   1.60 keV   3.146E-01  2.599E+00      42 A        12 A         9 A   
   1.70 keV   3.242E-01  2.641E+00      44 A        13 A        10 A   
   1.80 keV   3.336E-01  2.681E+00      46 A        13 A        10 A   
   2.00 keV   3.517E-01  2.753E+00      49 A        14 A        11 A   
   2.25 keV   3.730E-01  2.832E+00      52 A        15 A        11 A   
   2.50 keV   3.932E-01  2.901E+00      56 A        15 A        12 A   
   2.75 keV   4.124E-01  2.962E+00      60 A        16 A        13 A   
   3.00 keV   4.307E-01  3.016E+00      63 A        17 A        13 A   
   3.25 keV   4.483E-01  3.065E+00      66 A        18 A        14 A   
   3.50 keV   4.652E-01  3.108E+00      70 A        18 A        15 A   
   3.75 keV   4.816E-01  3.147E+00      73 A        19 A        15 A   
   4.00 keV   4.974E-01  3.183E+00      76 A        20 A        16 A   
   4.50 keV   5.275E-01  3.244E+00      83 A        21 A        17 A   
