 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/53Co_in_be.txt

 Ion = Cobalt       [27] , Mass = 52.9542 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 52.9542 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.394E-01  2.655E+00      32 A         9 A         7 A   
   1.10 keV   1.463E-01  2.750E+00      34 A        10 A         7 A   
   1.20 keV   1.528E-01  2.838E+00      35 A        10 A         7 A   
   1.30 keV   1.590E-01  2.920E+00      37 A        10 A         8 A   
   1.40 keV   1.650E-01  2.996E+00      38 A        11 A         8 A   
   1.50 keV   1.708E-01  3.068E+00      40 A        11 A         8 A   
   1.60 keV   1.764E-01  3.135E+00      41 A        11 A         9 A   
   1.70 keV   1.818E-01  3.198E+00      43 A        12 A         9 A   
   1.80 keV   1.871E-01  3.258E+00      44 A        12 A         9 A   
   2.00 keV   1.972E-01  3.369E+00      47 A        13 A        10 A   
   2.25 keV   2.092E-01  3.493E+00      50 A        13 A        10 A   
   2.50 keV   2.205E-01  3.604E+00      53 A        14 A        11 A   
   2.75 keV   2.312E-01  3.704E+00      56 A        15 A        11 A   
   3.00 keV   2.415E-01  3.795E+00      59 A        15 A        12 A   
   3.25 keV   2.514E-01  3.878E+00      62 A        16 A        13 A   
   3.50 keV   2.609E-01  3.954E+00      65 A        17 A        13 A   
   3.75 keV   2.700E-01  4.024E+00      68 A        17 A        14 A   
   4.00 keV   2.789E-01  4.089E+00      71 A        18 A        14 A   
   4.50 keV   2.958E-01  4.206E+00      76 A        19 A        15 A   
