 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/59Zn_in_be.txt

 Ion = Zinc         [30] , Mass = 58.94931 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 58.94931 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.682E-01  2.721E+00      32 A         9 A         6 A   
   1.10 keV   1.764E-01  2.823E+00      34 A         9 A         7 A   
   1.20 keV   1.842E-01  2.918E+00      35 A        10 A         7 A   
   1.30 keV   1.917E-01  3.006E+00      37 A        10 A         7 A   
   1.40 keV   1.990E-01  3.088E+00      38 A        10 A         8 A   
   1.50 keV   2.060E-01  3.166E+00      40 A        11 A         8 A   
   1.60 keV   2.127E-01  3.239E+00      41 A        11 A         8 A   
   1.70 keV   2.193E-01  3.309E+00      43 A        11 A         8 A   
   1.80 keV   2.256E-01  3.374E+00      44 A        12 A         9 A   
   2.00 keV   2.378E-01  3.496E+00      47 A        12 A         9 A   
   2.25 keV   2.523E-01  3.633E+00      50 A        13 A        10 A   
   2.50 keV   2.659E-01  3.756E+00      53 A        13 A        10 A   
   2.75 keV   2.789E-01  3.868E+00      56 A        14 A        11 A   
   3.00 keV   2.913E-01  3.970E+00      59 A        15 A        11 A   
   3.25 keV   3.032E-01  4.063E+00      61 A        15 A        12 A   
   3.50 keV   3.146E-01  4.150E+00      64 A        16 A        12 A   
   3.75 keV   3.257E-01  4.229E+00      67 A        16 A        13 A   
   4.00 keV   3.363E-01  4.304E+00      69 A        17 A        13 A   
   4.50 keV   3.568E-01  4.438E+00      75 A        18 A        14 A   
