 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/111Ag_in_butane.txt

 Ion = Silver       [47] , Mass = 110.9053 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 110.9053 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.375E-01  3.062E+00    4.92 um     1.03 um     7243 A   
   1.10 keV   3.540E-01  3.207E+00    5.13 um     1.07 um     7540 A   
   1.20 keV   3.698E-01  3.343E+00    5.34 um     1.11 um     7823 A   
   1.30 keV   3.849E-01  3.472E+00    5.53 um     1.14 um     8095 A   
   1.40 keV   3.994E-01  3.595E+00    5.72 um     1.18 um     8357 A   
   1.50 keV   4.134E-01  3.711E+00    5.91 um     1.21 um     8610 A   
   1.60 keV   4.270E-01  3.823E+00    6.08 um     1.25 um     8855 A   
   1.70 keV   4.401E-01  3.930E+00    6.25 um     1.28 um     9092 A   
   1.80 keV   4.529E-01  4.033E+00    6.42 um     1.31 um     9323 A   
   2.00 keV   4.774E-01  4.227E+00    6.75 um     1.37 um     9767 A   
   2.25 keV   5.063E-01  4.450E+00    7.13 um     1.44 um     1.03 um  
   2.50 keV   5.337E-01  4.657E+00    7.50 um     1.50 um     1.08 um  
   2.75 keV   5.598E-01  4.848E+00    7.85 um     1.56 um     1.13 um  
   3.00 keV   5.846E-01  5.027E+00    8.19 um     1.62 um     1.17 um  
   3.25 keV   6.085E-01  5.195E+00    8.51 um     1.67 um     1.22 um  
   3.50 keV   6.315E-01  5.353E+00    8.83 um     1.73 um     1.26 um  
