 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/111Sb_in_butane.txt

 Ion = Antimony     [51] , Mass = 110.9132 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 110.9132 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.058E-01  3.135E+00    5.06 um     1.09 um     7696 A   
   1.10 keV   2.159E-01  3.285E+00    5.28 um     1.13 um     8004 A   
   1.20 keV   2.255E-01  3.426E+00    5.48 um     1.17 um     8298 A   
   1.30 keV   2.347E-01  3.560E+00    5.68 um     1.21 um     8580 A   
   1.40 keV   2.435E-01  3.688E+00    5.87 um     1.25 um     8851 A   
   1.50 keV   2.521E-01  3.809E+00    6.06 um     1.28 um     9113 A   
   1.60 keV   2.604E-01  3.925E+00    6.24 um     1.32 um     9366 A   
   1.70 keV   2.684E-01  4.036E+00    6.41 um     1.35 um     9612 A   
   1.80 keV   2.762E-01  4.143E+00    6.58 um     1.38 um     9851 A   
   2.00 keV   2.911E-01  4.346E+00    6.91 um     1.44 um     1.03 um  
   2.25 keV   3.087E-01  4.579E+00    7.30 um     1.51 um     1.09 um  
   2.50 keV   3.254E-01  4.795E+00    7.67 um     1.58 um     1.14 um  
   2.75 keV   3.413E-01  4.995E+00    8.02 um     1.65 um     1.19 um  
   3.00 keV   3.565E-01  5.183E+00    8.36 um     1.71 um     1.23 um  
   3.25 keV   3.711E-01  5.358E+00    8.69 um     1.76 um     1.28 um  
