 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/131Cd_in_butane.txt

 Ion = Cadmium      [48] , Mass = 130.9407 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 130.9407 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.978E-01  2.886E+00    5.59 um     1.11 um     7816 A   
   1.10 keV   2.075E-01  3.025E+00    5.83 um     1.16 um     8127 A   
   1.20 keV   2.167E-01  3.157E+00    6.05 um     1.20 um     8425 A   
   1.30 keV   2.256E-01  3.281E+00    6.27 um     1.24 um     8710 A   
   1.40 keV   2.341E-01  3.400E+00    6.48 um     1.28 um     8984 A   
   1.50 keV   2.423E-01  3.513E+00    6.68 um     1.31 um     9248 A   
   1.60 keV   2.502E-01  3.622E+00    6.88 um     1.35 um     9504 A   
   1.70 keV   2.579E-01  3.726E+00    7.07 um     1.38 um     9752 A   
   1.80 keV   2.654E-01  3.826E+00    7.25 um     1.41 um     9993 A   
   2.00 keV   2.798E-01  4.015E+00    7.61 um     1.47 um     1.05 um  
   2.25 keV   2.967E-01  4.233E+00    8.03 um     1.55 um     1.10 um  
   2.50 keV   3.128E-01  4.435E+00    8.44 um     1.62 um     1.15 um  
   2.75 keV   3.281E-01  4.623E+00    8.82 um     1.68 um     1.20 um  
   3.00 keV   3.427E-01  4.799E+00    9.19 um     1.74 um     1.25 um  
   3.25 keV   3.566E-01  4.964E+00    9.55 um     1.80 um     1.30 um  
