 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/151Pr_in_butane.txt

 Ion = Praseodymium [59] , Mass = 150.9283 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 150.9283 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.761E-01  2.873E+00    5.88 um     1.12 um     7791 A   
   1.10 keV   1.846E-01  3.018E+00    6.12 um     1.16 um     8091 A   
   1.20 keV   1.929E-01  3.155E+00    6.35 um     1.20 um     8377 A   
   1.30 keV   2.007E-01  3.285E+00    6.57 um     1.24 um     8650 A   
   1.40 keV   2.083E-01  3.409E+00    6.78 um     1.27 um     8913 A   
   1.50 keV   2.156E-01  3.528E+00    6.98 um     1.31 um     9166 A   
   1.60 keV   2.227E-01  3.642E+00    7.18 um     1.34 um     9410 A   
   1.70 keV   2.295E-01  3.752E+00    7.37 um     1.38 um     9646 A   
   1.80 keV   2.362E-01  3.857E+00    7.56 um     1.41 um     9876 A   
   2.00 keV   2.490E-01  4.058E+00    7.91 um     1.47 um     1.03 um  
   2.25 keV   2.641E-01  4.291E+00    8.34 um     1.54 um     1.08 um  
   2.50 keV   2.784E-01  4.507E+00    8.74 um     1.61 um     1.13 um  
   2.75 keV   2.919E-01  4.710E+00    9.13 um     1.67 um     1.18 um  
   3.00 keV   3.049E-01  4.900E+00    9.50 um     1.73 um     1.22 um  
   3.25 keV   3.174E-01  5.079E+00    9.85 um     1.79 um     1.27 um  
