 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/161Eu_in_butane.txt

 Ion = Europium     [63] , Mass = 160.9337 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Europium     [63] , Mass = 160.9337 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.703E-01  2.840E+00    5.60 um     9902 A      6877 A   
   1.10 keV   3.884E-01  2.984E+00    5.82 um     1.03 um     7146 A   
   1.20 keV   4.056E-01  3.122E+00    6.04 um     1.07 um     7403 A   
   1.30 keV   4.222E-01  3.252E+00    6.25 um     1.10 um     7649 A   
   1.40 keV   4.381E-01  3.377E+00    6.46 um     1.14 um     7885 A   
   1.50 keV   4.535E-01  3.497E+00    6.65 um     1.17 um     8112 A   
   1.60 keV   4.684E-01  3.612E+00    6.84 um     1.20 um     8331 A   
   1.70 keV   4.828E-01  3.722E+00    7.02 um     1.23 um     8543 A   
   1.80 keV   4.968E-01  3.829E+00    7.20 um     1.26 um     8749 A   
   2.00 keV   5.237E-01  4.031E+00    7.54 um     1.31 um     9144 A   
   2.25 keV   5.554E-01  4.267E+00    7.94 um     1.38 um     9611 A   
   2.50 keV   5.855E-01  4.486E+00    8.33 um     1.44 um     1.01 um  
   2.75 keV   6.140E-01  4.691E+00    8.69 um     1.49 um     1.05 um  
   3.00 keV   6.413E-01  4.884E+00    9.04 um     1.55 um     1.09 um  
   3.25 keV   6.675E-01  5.067E+00    9.38 um     1.60 um     1.13 um  
   3.50 keV   6.927E-01  5.240E+00    9.71 um     1.65 um     1.16 um  
