 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/163Sm_in_butane.txt

 Ion = Samarium     [62] , Mass = 162.9457 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Samarium     [62] , Mass = 162.9457 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.840E-01  2.813E+00    6.06 um     1.11 um     7742 A   
   1.10 keV   1.929E-01  2.956E+00    6.31 um     1.15 um     8037 A   
   1.20 keV   2.015E-01  3.092E+00    6.54 um     1.19 um     8319 A   
   1.30 keV   2.098E-01  3.221E+00    6.76 um     1.23 um     8588 A   
   1.40 keV   2.177E-01  3.345E+00    6.98 um     1.27 um     8846 A   
   1.50 keV   2.253E-01  3.463E+00    7.19 um     1.30 um     9094 A   
   1.60 keV   2.327E-01  3.577E+00    7.39 um     1.34 um     9334 A   
   1.70 keV   2.399E-01  3.686E+00    7.58 um     1.37 um     9567 A   
   1.80 keV   2.468E-01  3.792E+00    7.77 um     1.40 um     9792 A   
   2.00 keV   2.602E-01  3.992E+00    8.14 um     1.46 um     1.02 um  
   2.25 keV   2.759E-01  4.225E+00    8.57 um     1.53 um     1.07 um  
   2.50 keV   2.909E-01  4.442E+00    8.98 um     1.60 um     1.12 um  
   2.75 keV   3.051E-01  4.645E+00    9.37 um     1.66 um     1.17 um  
   3.00 keV   3.186E-01  4.836E+00    9.74 um     1.72 um     1.21 um  
   3.25 keV   3.316E-01  5.017E+00   10.10 um     1.78 um     1.25 um  
