 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/185Bi_in_butane.txt

 Ion = Bismuth      [83] , Mass = 184.9976 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bismuth      [83] , Mass = 184.9976 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.758E-01  2.837E+00    5.38 um     8624 A      5962 A   
   1.10 keV   6.039E-01  2.988E+00    5.60 um     8971 A      6196 A   
   1.20 keV   6.308E-01  3.132E+00    5.81 um     9299 A      6419 A   
   1.30 keV   6.565E-01  3.269E+00    6.00 um     9610 A      6631 A   
   1.40 keV   6.813E-01  3.400E+00    6.20 um     9908 A      6835 A   
   1.50 keV   7.052E-01  3.527E+00    6.38 um     1.02 um     7030 A   
   1.60 keV   7.283E-01  3.648E+00    6.56 um     1.05 um     7219 A   
   1.70 keV   7.508E-01  3.765E+00    6.73 um     1.07 um     7402 A   
   1.80 keV   7.725E-01  3.878E+00    6.89 um     1.10 um     7578 A   
   2.00 keV   8.143E-01  4.094E+00    7.21 um     1.15 um     7917 A   
   2.25 keV   8.637E-01  4.347E+00    7.59 um     1.21 um     8315 A   
   2.50 keV   9.104E-01  4.583E+00    7.95 um     1.26 um     8692 A   
   2.75 keV   9.549E-01  4.805E+00    8.29 um     1.31 um     9049 A   
   3.00 keV   9.973E-01  5.015E+00    8.61 um     1.36 um     9390 A   
   3.25 keV   1.038E+00  5.213E+00    8.92 um     1.40 um     9717 A   
   3.50 keV   1.077E+00  5.403E+00    9.22 um     1.45 um     1.00 um  
