 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/187Tl_in_butane.txt

 Ion = Thallium     [81] , Mass = 186.9759 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thallium     [81] , Mass = 186.9759 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.627E-01  2.808E+00    5.45 um     8697 A      6010 A   
   1.10 keV   5.902E-01  2.957E+00    5.67 um     9046 A      6246 A   
   1.20 keV   6.164E-01  3.099E+00    5.88 um     9377 A      6470 A   
   1.30 keV   6.416E-01  3.235E+00    6.08 um     9691 A      6684 A   
   1.40 keV   6.658E-01  3.364E+00    6.27 um     9991 A      6889 A   
   1.50 keV   6.892E-01  3.489E+00    6.46 um     1.03 um     7087 A   
   1.60 keV   7.118E-01  3.609E+00    6.64 um     1.06 um     7277 A   
   1.70 keV   7.337E-01  3.725E+00    6.81 um     1.08 um     7461 A   
   1.80 keV   7.549E-01  3.837E+00    6.98 um     1.11 um     7639 A   
   2.00 keV   7.958E-01  4.050E+00    7.30 um     1.16 um     7980 A   
   2.25 keV   8.440E-01  4.299E+00    7.69 um     1.22 um     8383 A   
   2.50 keV   8.897E-01  4.532E+00    8.05 um     1.27 um     8762 A   
   2.75 keV   9.331E-01  4.751E+00    8.39 um     1.32 um     9123 A   
   3.00 keV   9.746E-01  4.958E+00    8.72 um     1.37 um     9467 A   
   3.25 keV   1.014E+00  5.154E+00    9.04 um     1.41 um     9797 A   
   3.50 keV   1.053E+00  5.341E+00    9.34 um     1.46 um     1.01 um  
