 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/213At_in_butane.txt

 Ion = Astatine     [85] , Mass = 212.9929 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 212.9929 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.308E-01  2.664E+00    5.84 um     8787 A      6060 A   
   1.10 keV   5.567E-01  2.808E+00    6.07 um     9139 A      6296 A   
   1.20 keV   5.814E-01  2.944E+00    6.29 um     9472 A      6520 A   
   1.30 keV   6.052E-01  3.075E+00    6.51 um     9789 A      6733 A   
   1.40 keV   6.280E-01  3.201E+00    6.71 um     1.01 um     6938 A   
   1.50 keV   6.501E-01  3.321E+00    6.91 um     1.04 um     7135 A   
   1.60 keV   6.714E-01  3.437E+00    7.10 um     1.07 um     7324 A   
   1.70 keV   6.920E-01  3.550E+00    7.28 um     1.09 um     7507 A   
   1.80 keV   7.121E-01  3.658E+00    7.46 um     1.12 um     7685 A   
   2.00 keV   7.506E-01  3.865E+00    7.80 um     1.17 um     8024 A   
   2.25 keV   7.962E-01  4.108E+00    8.21 um     1.23 um     8424 A   
   2.50 keV   8.392E-01  4.335E+00    8.59 um     1.28 um     8800 A   
   2.75 keV   8.802E-01  4.549E+00    8.95 um     1.33 um     9157 A   
   3.00 keV   9.193E-01  4.751E+00    9.29 um     1.38 um     9498 A   
   3.25 keV   9.569E-01  4.943E+00    9.63 um     1.43 um     9825 A   
   3.50 keV   9.930E-01  5.126E+00    9.95 um     1.47 um     1.01 um  
