 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/214Hg_in_butane.txt

 Ion = Mercury      [80] , Mass = 214.0126 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 214.0126 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.078E-01  2.624E+00    5.94 um     8943 A      6162 A   
   1.10 keV   5.326E-01  2.765E+00    6.18 um     9301 A      6402 A   
   1.20 keV   5.562E-01  2.899E+00    6.41 um     9639 A      6630 A   
   1.30 keV   5.790E-01  3.027E+00    6.62 um     9961 A      6847 A   
   1.40 keV   6.008E-01  3.150E+00    6.83 um     1.03 um     7056 A   
   1.50 keV   6.219E-01  3.268E+00    7.03 um     1.06 um     7256 A   
   1.60 keV   6.423E-01  3.381E+00    7.23 um     1.08 um     7450 A   
   1.70 keV   6.621E-01  3.491E+00    7.42 um     1.11 um     7636 A   
   1.80 keV   6.813E-01  3.597E+00    7.60 um     1.14 um     7817 A   
   2.00 keV   7.181E-01  3.799E+00    7.95 um     1.19 um     8163 A   
   2.25 keV   7.617E-01  4.036E+00    8.36 um     1.25 um     8571 A   
   2.50 keV   8.029E-01  4.257E+00    8.75 um     1.30 um     8955 A   
   2.75 keV   8.421E-01  4.466E+00    9.12 um     1.36 um     9320 A   
   3.00 keV   8.795E-01  4.663E+00    9.47 um     1.40 um     9668 A   
   3.25 keV   9.154E-01  4.850E+00    9.81 um     1.45 um     1.00 um  
   3.50 keV   9.500E-01  5.029E+00   10.14 um     1.50 um     1.03 um  
