 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/45Ti_in_butane.txt

 Ion = Titanium     [22] , Mass = 44.95812 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Titanium     [22] , Mass = 44.95812 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.687E-01  2.997E+00    4.02 um     1.16 um     8682 A   
   1.10 keV   2.818E-01  3.103E+00    4.22 um     1.21 um     9093 A   
   1.20 keV   2.943E-01  3.201E+00    4.42 um     1.26 um     9489 A   
   1.30 keV   3.063E-01  3.292E+00    4.62 um     1.31 um     9872 A   
   1.40 keV   3.179E-01  3.377E+00    4.81 um     1.36 um     1.02 um  
   1.50 keV   3.291E-01  3.456E+00    5.00 um     1.40 um     1.06 um  
   1.60 keV   3.398E-01  3.531E+00    5.18 um     1.44 um     1.10 um  
   1.70 keV   3.503E-01  3.602E+00    5.36 um     1.48 um     1.13 um  
   1.80 keV   3.605E-01  3.668E+00    5.53 um     1.52 um     1.16 um  
   2.00 keV   3.800E-01  3.791E+00    5.88 um     1.60 um     1.23 um  
   2.25 keV   4.030E-01  3.929E+00    6.29 um     1.70 um     1.31 um  
   2.50 keV   4.248E-01  4.051E+00    6.69 um     1.79 um     1.38 um  
   2.75 keV   4.455E-01  4.162E+00    7.08 um     1.87 um     1.45 um  
   3.00 keV   4.654E-01  4.262E+00    7.45 um     1.95 um     1.52 um  
   3.25 keV   4.844E-01  4.353E+00    7.82 um     2.03 um     1.59 um  
