 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/49Ca_in_butane.txt

 Ion = Calcium      [20] , Mass = 48.95566 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Calcium      [20] , Mass = 48.95566 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.794E-01  2.831E+00    4.26 um     1.18 um     8801 A   
   1.10 keV   2.930E-01  2.930E+00    4.48 um     1.23 um     9220 A   
   1.20 keV   3.061E-01  3.022E+00    4.69 um     1.28 um     9624 A   
   1.30 keV   3.186E-01  3.107E+00    4.90 um     1.33 um     1.00 um  
   1.40 keV   3.306E-01  3.186E+00    5.10 um     1.37 um     1.04 um  
   1.50 keV   3.422E-01  3.260E+00    5.30 um     1.42 um     1.08 um  
   1.60 keV   3.534E-01  3.330E+00    5.49 um     1.46 um     1.11 um  
   1.70 keV   3.643E-01  3.396E+00    5.68 um     1.50 um     1.15 um  
   1.80 keV   3.749E-01  3.458E+00    5.87 um     1.54 um     1.18 um  
   2.00 keV   3.951E-01  3.572E+00    6.23 um     1.62 um     1.25 um  
   2.25 keV   4.191E-01  3.700E+00    6.67 um     1.72 um     1.33 um  
   2.50 keV   4.418E-01  3.815E+00    7.10 um     1.81 um     1.40 um  
   2.75 keV   4.633E-01  3.917E+00    7.51 um     1.89 um     1.48 um  
   3.00 keV   4.839E-01  4.010E+00    7.91 um     1.98 um     1.55 um  
   3.25 keV   5.037E-01  4.095E+00    8.30 um     2.06 um     1.62 um  
