 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/50V_in_butane.txt

 Ion = Vanadium     [23] , Mass = 49.94715 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Vanadium     [23] , Mass = 49.94715 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.622E-01  2.997E+00    4.03 um     1.11 um     8241 A   
   1.10 keV   3.799E-01  3.106E+00    4.24 um     1.16 um     8627 A   
   1.20 keV   3.968E-01  3.208E+00    4.43 um     1.20 um     8998 A   
   1.30 keV   4.130E-01  3.302E+00    4.63 um     1.25 um     9357 A   
   1.40 keV   4.286E-01  3.390E+00    4.81 um     1.29 um     9704 A   
   1.50 keV   4.436E-01  3.473E+00    5.00 um     1.33 um     1.00 um  
   1.60 keV   4.582E-01  3.550E+00    5.17 um     1.37 um     1.04 um  
   1.70 keV   4.723E-01  3.624E+00    5.35 um     1.41 um     1.07 um  
   1.80 keV   4.859E-01  3.694E+00    5.52 um     1.45 um     1.10 um  
   2.00 keV   5.122E-01  3.822E+00    5.85 um     1.52 um     1.16 um  
   2.25 keV   5.433E-01  3.967E+00    6.25 um     1.61 um     1.23 um  
   2.50 keV   5.727E-01  4.097E+00    6.64 um     1.69 um     1.30 um  
   2.75 keV   6.006E-01  4.214E+00    7.02 um     1.77 um     1.37 um  
   3.00 keV   6.273E-01  4.320E+00    7.38 um     1.84 um     1.43 um  
   3.25 keV   6.530E-01  4.418E+00    7.74 um     1.92 um     1.50 um  
