 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/75As_in_butane.txt

 Ion = Arsenic      [33] , Mass = 74.92159 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 74.92159 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.244E-01  3.121E+00    4.54 um     1.12 um     8082 A   
   1.10 keV   2.354E-01  3.253E+00    4.75 um     1.16 um     8432 A   
   1.20 keV   2.458E-01  3.376E+00    4.95 um     1.21 um     8768 A   
   1.30 keV   2.559E-01  3.492E+00    5.14 um     1.25 um     9092 A   
   1.40 keV   2.655E-01  3.601E+00    5.33 um     1.29 um     9404 A   
   1.50 keV   2.749E-01  3.705E+00    5.52 um     1.33 um     9707 A   
   1.60 keV   2.839E-01  3.803E+00    5.70 um     1.36 um     1.00 um  
   1.70 keV   2.926E-01  3.897E+00    5.87 um     1.40 um     1.03 um  
   1.80 keV   3.011E-01  3.986E+00    6.04 um     1.43 um     1.06 um  
   2.00 keV   3.174E-01  4.153E+00    6.37 um     1.50 um     1.11 um  
   2.25 keV   3.366E-01  4.344E+00    6.77 um     1.58 um     1.17 um  
   2.50 keV   3.548E-01  4.517E+00    7.15 um     1.65 um     1.24 um  
   2.75 keV   3.722E-01  4.677E+00    7.52 um     1.72 um     1.29 um  
   3.00 keV   3.887E-01  4.824E+00    7.87 um     1.79 um     1.35 um  
   3.25 keV   4.046E-01  4.960E+00    8.22 um     1.86 um     1.40 um  
