 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/94Se_in_butane.txt

 Ion = Selenium     [34] , Mass = 93.96049 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 93.96049 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.977E-01  2.935E+00    5.06 um     1.14 um     8148 A   
   1.10 keV   2.073E-01  3.064E+00    5.28 um     1.19 um     8494 A   
   1.20 keV   2.165E-01  3.185E+00    5.50 um     1.23 um     8826 A   
   1.30 keV   2.254E-01  3.299E+00    5.72 um     1.27 um     9145 A   
   1.40 keV   2.339E-01  3.406E+00    5.92 um     1.31 um     9452 A   
   1.50 keV   2.421E-01  3.508E+00    6.12 um     1.35 um     9750 A   
   1.60 keV   2.500E-01  3.606E+00    6.31 um     1.39 um     1.00 um  
   1.70 keV   2.577E-01  3.698E+00    6.50 um     1.42 um     1.03 um  
   1.80 keV   2.652E-01  3.787E+00    6.68 um     1.46 um     1.06 um  
   2.00 keV   2.796E-01  3.953E+00    7.04 um     1.52 um     1.11 um  
   2.25 keV   2.965E-01  4.144E+00    7.46 um     1.60 um     1.17 um  
   2.50 keV   3.125E-01  4.318E+00    7.87 um     1.67 um     1.23 um  
   2.75 keV   3.278E-01  4.479E+00    8.26 um     1.74 um     1.29 um  
   3.00 keV   3.424E-01  4.628E+00    8.64 um     1.81 um     1.35 um  
   3.25 keV   3.564E-01  4.766E+00    9.00 um     1.87 um     1.40 um  
