 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/butane/95Mo_in_butane.txt

 Ion = Molybdenum   [42] , Mass = 94.90584 amu

 Density =  1.2500E-03 g/cm3 = 1.8131E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 94.90584 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.085E-01  3.133E+00    4.85 um     1.10 um     7856 A   
   1.10 keV   2.187E-01  3.276E+00    5.06 um     1.15 um     8181 A   
   1.20 keV   2.284E-01  3.410E+00    5.27 um     1.19 um     8492 A   
   1.30 keV   2.377E-01  3.536E+00    5.46 um     1.23 um     8790 A   
   1.40 keV   2.467E-01  3.657E+00    5.65 um     1.27 um     9078 A   
   1.50 keV   2.553E-01  3.771E+00    5.84 um     1.30 um     9356 A   
   1.60 keV   2.637E-01  3.880E+00    6.02 um     1.34 um     9626 A   
   1.70 keV   2.718E-01  3.984E+00    6.19 um     1.37 um     9887 A   
   1.80 keV   2.797E-01  4.083E+00    6.36 um     1.40 um     1.01 um  
   2.00 keV   2.948E-01  4.271E+00    6.69 um     1.47 um     1.06 um  
   2.25 keV   3.127E-01  4.487E+00    7.08 um     1.54 um     1.12 um  
   2.50 keV   3.296E-01  4.685E+00    7.46 um     1.61 um     1.18 um  
   2.75 keV   3.457E-01  4.869E+00    7.82 um     1.68 um     1.23 um  
   3.00 keV   3.611E-01  5.039E+00    8.17 um     1.74 um     1.28 um  
   3.25 keV   3.759E-01  5.199E+00    8.50 um     1.80 um     1.33 um  
