 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/109Sn_in_c.txt

 Ion = Tin          [50] , Mass = 108.9113 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 108.9113 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.528E-01  2.674E+00      32 A         8 A         6 A   
   1.10 keV   1.603E-01  2.799E+00      33 A         8 A         6 A   
   1.20 keV   1.674E-01  2.917E+00      34 A         9 A         6 A   
   1.30 keV   1.743E-01  3.029E+00      36 A         9 A         6 A   
   1.40 keV   1.808E-01  3.134E+00      37 A         9 A         7 A   
   1.50 keV   1.872E-01  3.235E+00      38 A         9 A         7 A   
   1.60 keV   1.933E-01  3.331E+00      39 A        10 A         7 A   
   1.70 keV   1.993E-01  3.424E+00      40 A        10 A         7 A   
   1.80 keV   2.050E-01  3.512E+00      41 A        10 A         7 A   
   2.00 keV   2.161E-01  3.679E+00      43 A        11 A         8 A   
   2.25 keV   2.293E-01  3.871E+00      46 A        11 A         8 A   
   2.50 keV   2.417E-01  4.048E+00      48 A        12 A         8 A   
   2.75 keV   2.534E-01  4.212E+00      51 A        12 A         9 A   
   3.00 keV   2.647E-01  4.365E+00      53 A        13 A         9 A   
   3.25 keV   2.755E-01  4.509E+00      55 A        13 A        10 A   
   3.50 keV   2.859E-01  4.644E+00      57 A        14 A        10 A   
   3.75 keV   2.960E-01  4.771E+00      59 A        14 A        10 A   
   4.00 keV   3.057E-01  4.892E+00      61 A        14 A        10 A   
   4.50 keV   3.242E-01  5.116E+00      65 A        15 A        11 A   
