 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/118Cd_in_c.txt

 Ion = Cadmium      [48] , Mass = 117.9069 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 117.9069 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.546E-01  2.571E+00      33 A         8 A         6 A   
   1.10 keV   1.621E-01  2.691E+00      35 A         8 A         6 A   
   1.20 keV   1.693E-01  2.805E+00      36 A         9 A         6 A   
   1.30 keV   1.763E-01  2.912E+00      37 A         9 A         6 A   
   1.40 keV   1.829E-01  3.014E+00      39 A         9 A         7 A   
   1.50 keV   1.893E-01  3.112E+00      40 A        10 A         7 A   
   1.60 keV   1.955E-01  3.205E+00      41 A        10 A         7 A   
   1.70 keV   2.016E-01  3.294E+00      42 A        10 A         7 A   
   1.80 keV   2.074E-01  3.379E+00      43 A        10 A         7 A   
   2.00 keV   2.186E-01  3.540E+00      46 A        11 A         8 A   
   2.25 keV   2.319E-01  3.726E+00      48 A        11 A         8 A   
   2.50 keV   2.444E-01  3.897E+00      51 A        12 A         8 A   
   2.75 keV   2.564E-01  4.056E+00      53 A        12 A         9 A   
   3.00 keV   2.678E-01  4.204E+00      55 A        13 A         9 A   
   3.25 keV   2.787E-01  4.343E+00      58 A        13 A        10 A   
   3.50 keV   2.892E-01  4.474E+00      60 A        14 A        10 A   
   3.75 keV   2.994E-01  4.597E+00      62 A        14 A        10 A   
   4.00 keV   3.092E-01  4.714E+00      64 A        14 A        11 A   
   4.50 keV   3.279E-01  4.931E+00      68 A        15 A        11 A   
