 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/131Ce_in_c.txt

 Ion = Cerium       [58] , Mass = 130.9144 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cerium       [58] , Mass = 130.9144 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.383E-01  2.617E+00      34 A         8 A         6 A   
   1.10 keV   1.450E-01  2.744E+00      36 A         8 A         6 A   
   1.20 keV   1.515E-01  2.865E+00      37 A         9 A         6 A   
   1.30 keV   1.577E-01  2.979E+00      38 A         9 A         6 A   
   1.40 keV   1.636E-01  3.088E+00      39 A         9 A         6 A   
   1.50 keV   1.694E-01  3.192E+00      41 A         9 A         7 A   
   1.60 keV   1.749E-01  3.291E+00      42 A        10 A         7 A   
   1.70 keV   1.803E-01  3.387E+00      43 A        10 A         7 A   
   1.80 keV   1.855E-01  3.479E+00      44 A        10 A         7 A   
   2.00 keV   1.956E-01  3.653E+00      46 A        11 A         7 A   
   2.25 keV   2.074E-01  3.854E+00      49 A        11 A         8 A   
   2.50 keV   2.187E-01  4.041E+00      51 A        12 A         8 A   
   2.75 keV   2.293E-01  4.214E+00      54 A        12 A         9 A   
   3.00 keV   2.395E-01  4.377E+00      56 A        13 A         9 A   
   3.25 keV   2.493E-01  4.530E+00      58 A        13 A         9 A   
   3.50 keV   2.587E-01  4.674E+00      60 A        13 A        10 A   
   3.75 keV   2.678E-01  4.811E+00      62 A        14 A        10 A   
   4.00 keV   2.766E-01  4.941E+00      64 A        14 A        10 A   
   4.50 keV   2.934E-01  5.183E+00      68 A        15 A        11 A   
