 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/142I_in_c.txt

 Ion = Iodine       [53] , Mass = 141.9412 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iodine       [53] , Mass = 141.9412 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.517E-01  2.474E+00      34 A         8 A         5 A   
   1.10 keV   2.640E-01  2.594E+00      36 A         8 A         5 A   
   1.20 keV   2.758E-01  2.707E+00      37 A         8 A         6 A   
   1.30 keV   2.870E-01  2.815E+00      39 A         8 A         6 A   
   1.40 keV   2.979E-01  2.917E+00      40 A         9 A         6 A   
   1.50 keV   3.083E-01  3.015E+00      41 A         9 A         6 A   
   1.60 keV   3.184E-01  3.109E+00      42 A         9 A         6 A   
   1.70 keV   3.282E-01  3.199E+00      44 A         9 A         7 A   
   1.80 keV   3.378E-01  3.285E+00      45 A        10 A         7 A   
   2.00 keV   3.560E-01  3.449E+00      47 A        10 A         7 A   
   2.25 keV   3.776E-01  3.638E+00      50 A        11 A         7 A   
   2.50 keV   3.981E-01  3.813E+00      52 A        11 A         8 A   
   2.75 keV   4.175E-01  3.977E+00      54 A        11 A         8 A   
   3.00 keV   4.360E-01  4.129E+00      57 A        12 A         8 A   
   3.25 keV   4.538E-01  4.273E+00      59 A        12 A         9 A   
   3.50 keV   4.710E-01  4.408E+00      61 A        13 A         9 A   
   3.75 keV   4.875E-01  4.537E+00      63 A        13 A         9 A   
   4.00 keV   5.035E-01  4.659E+00      65 A        13 A        10 A   
   4.50 keV   5.340E-01  4.886E+00      69 A        14 A        10 A   
