 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/144Ho_in_c.txt

 Ion = Holmium      [67] , Mass = 143.9521 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Holmium      [67] , Mass = 143.9521 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.962E-01  2.623E+00      32 A         7 A         5 A   
   1.10 keV   4.155E-01  2.755E+00      33 A         7 A         5 A   
   1.20 keV   4.340E-01  2.879E+00      34 A         7 A         5 A   
   1.30 keV   4.517E-01  2.998E+00      35 A         7 A         5 A   
   1.40 keV   4.688E-01  3.111E+00      37 A         8 A         5 A   
   1.50 keV   4.852E-01  3.219E+00      38 A         8 A         6 A   
   1.60 keV   5.011E-01  3.322E+00      39 A         8 A         6 A   
   1.70 keV   5.166E-01  3.422E+00      40 A         8 A         6 A   
   1.80 keV   5.315E-01  3.518E+00      41 A         9 A         6 A   
   2.00 keV   5.603E-01  3.700E+00      43 A         9 A         6 A   
   2.25 keV   5.943E-01  3.912E+00      45 A         9 A         7 A   
   2.50 keV   6.264E-01  4.108E+00      47 A        10 A         7 A   
   2.75 keV   6.570E-01  4.291E+00      50 A        10 A         7 A   
   3.00 keV   6.862E-01  4.464E+00      52 A        11 A         7 A   
   3.25 keV   7.142E-01  4.626E+00      54 A        11 A         8 A   
   3.50 keV   7.412E-01  4.780E+00      55 A        11 A         8 A   
   3.75 keV   7.672E-01  4.926E+00      57 A        12 A         8 A   
   4.00 keV   7.924E-01  5.065E+00      59 A        12 A         9 A   
   4.50 keV   8.405E-01  5.325E+00      63 A        13 A         9 A   
