 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/191W_in_c.txt

 Ion = Tungsten     [74] , Mass = 190.9665 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tungsten     [74] , Mass = 190.9665 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.439E-01  2.387E+00      37 A         7 A         5 A   
   1.10 keV   3.607E-01  2.511E+00      38 A         7 A         5 A   
   1.20 keV   3.767E-01  2.629E+00      40 A         7 A         5 A   
   1.30 keV   3.921E-01  2.742E+00      41 A         8 A         5 A   
   1.40 keV   4.069E-01  2.850E+00      42 A         8 A         5 A   
   1.50 keV   4.212E-01  2.953E+00      43 A         8 A         6 A   
   1.60 keV   4.350E-01  3.052E+00      45 A         8 A         6 A   
   1.70 keV   4.484E-01  3.148E+00      46 A         9 A         6 A   
   1.80 keV   4.614E-01  3.240E+00      47 A         9 A         6 A   
   2.00 keV   4.864E-01  3.416E+00      49 A         9 A         6 A   
   2.25 keV   5.159E-01  3.621E+00      52 A        10 A         7 A   
   2.50 keV   5.438E-01  3.812E+00      54 A        10 A         7 A   
   2.75 keV   5.703E-01  3.991E+00      57 A        10 A         7 A   
   3.00 keV   5.957E-01  4.160E+00      59 A        11 A         7 A   
   3.25 keV   6.200E-01  4.320E+00      61 A        11 A         8 A   
   3.50 keV   6.434E-01  4.472E+00      63 A        11 A         8 A   
   3.75 keV   6.660E-01  4.617E+00      65 A        12 A         8 A   
   4.00 keV   6.878E-01  4.755E+00      67 A        12 A         8 A   
   4.50 keV   7.296E-01  5.015E+00      71 A        13 A         9 A   
