 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/215Hg_in_c.txt

 Ion = Mercury      [80] , Mass = 215.0184 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 215.0184 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.756E-01  2.304E+00      38 A         7 A         5 A   
   1.10 keV   3.940E-01  2.426E+00      39 A         7 A         5 A   
   1.20 keV   4.115E-01  2.542E+00      41 A         7 A         5 A   
   1.30 keV   4.283E-01  2.653E+00      42 A         7 A         5 A   
   1.40 keV   4.445E-01  2.759E+00      44 A         8 A         5 A   
   1.50 keV   4.601E-01  2.861E+00      45 A         8 A         5 A   
   1.60 keV   4.751E-01  2.959E+00      46 A         8 A         6 A   
   1.70 keV   4.898E-01  3.054E+00      47 A         8 A         6 A   
   1.80 keV   5.040E-01  3.146E+00      49 A         8 A         6 A   
   2.00 keV   5.312E-01  3.320E+00      51 A         9 A         6 A   
   2.25 keV   5.635E-01  3.524E+00      53 A         9 A         6 A   
   2.50 keV   5.939E-01  3.715E+00      56 A        10 A         7 A   
   2.75 keV   6.229E-01  3.894E+00      58 A        10 A         7 A   
   3.00 keV   6.506E-01  4.063E+00      61 A        10 A         7 A   
   3.25 keV   6.772E-01  4.223E+00      63 A        11 A         7 A   
   3.50 keV   7.027E-01  4.376E+00      65 A        11 A         8 A   
   3.75 keV   7.274E-01  4.522E+00      67 A        11 A         8 A   
   4.00 keV   7.513E-01  4.661E+00      69 A        12 A         8 A   
   4.50 keV   7.968E-01  4.924E+00      73 A        12 A         9 A   
