 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/225At_in_c.txt

 Ion = Astatine     [85] , Mass = 225.0325 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 225.0325 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.829E-01  2.286E+00      38 A         7 A         5 A   
   1.10 keV   4.016E-01  2.408E+00      40 A         7 A         5 A   
   1.20 keV   4.194E-01  2.525E+00      41 A         7 A         5 A   
   1.30 keV   4.366E-01  2.636E+00      43 A         7 A         5 A   
   1.40 keV   4.530E-01  2.743E+00      44 A         8 A         5 A   
   1.50 keV   4.689E-01  2.845E+00      45 A         8 A         5 A   
   1.60 keV   4.843E-01  2.944E+00      47 A         8 A         5 A   
   1.70 keV   4.992E-01  3.039E+00      48 A         8 A         6 A   
   1.80 keV   5.137E-01  3.132E+00      49 A         8 A         6 A   
   2.00 keV   5.415E-01  3.307E+00      51 A         9 A         6 A   
   2.25 keV   5.743E-01  3.513E+00      54 A         9 A         6 A   
   2.50 keV   6.054E-01  3.705E+00      56 A        10 A         7 A   
   2.75 keV   6.350E-01  3.887E+00      59 A        10 A         7 A   
   3.00 keV   6.632E-01  4.058E+00      61 A        10 A         7 A   
   3.25 keV   6.903E-01  4.220E+00      63 A        11 A         7 A   
   3.50 keV   7.163E-01  4.375E+00      65 A        11 A         8 A   
   3.75 keV   7.415E-01  4.523E+00      67 A        11 A         8 A   
   4.00 keV   7.658E-01  4.665E+00      69 A        12 A         8 A   
   4.50 keV   8.122E-01  4.931E+00      73 A        12 A         8 A   
