 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/33Ar_in_c.txt

 Ion = Argon        [18] , Mass = 32.98993 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 32.98993 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.164E-01  2.155E+00      25 A         9 A         7 A   
   1.10 keV   3.319E-01  2.221E+00      26 A        10 A         7 A   
   1.20 keV   3.466E-01  2.281E+00      27 A        10 A         8 A   
   1.30 keV   3.608E-01  2.336E+00      29 A        11 A         8 A   
   1.40 keV   3.744E-01  2.387E+00      30 A        11 A         8 A   
   1.50 keV   3.875E-01  2.434E+00      31 A        11 A         9 A   
   1.60 keV   4.002E-01  2.478E+00      33 A        12 A         9 A   
   1.70 keV   4.126E-01  2.519E+00      34 A        12 A         9 A   
   1.80 keV   4.245E-01  2.558E+00      35 A        13 A        10 A   
   2.00 keV   4.475E-01  2.628E+00      37 A        13 A        10 A   
   2.25 keV   4.746E-01  2.706E+00      40 A        14 A        11 A   
   2.50 keV   5.003E-01  2.773E+00      43 A        15 A        12 A   
   2.75 keV   5.247E-01  2.833E+00      46 A        16 A        12 A   
   3.00 keV   5.480E-01  2.886E+00      48 A        17 A        13 A   
   3.25 keV   5.704E-01  2.934E+00      51 A        17 A        13 A   
   3.50 keV   5.920E-01  2.977E+00      54 A        18 A        14 A   
   3.75 keV   6.127E-01  3.016E+00      56 A        19 A        15 A   
   4.00 keV   6.328E-01  3.051E+00      59 A        20 A        15 A   
   4.50 keV   6.712E-01  3.112E+00      64 A        21 A        16 A   
