 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/42P_in_c.txt

 Ion = Phosphorus   [15] , Mass = 42.00117 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 42.00117 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.027E-01  1.965E+00      29 A        10 A         8 A   
   1.10 keV   2.126E-01  2.024E+00      31 A        11 A         8 A   
   1.20 keV   2.220E-01  2.078E+00      33 A        11 A         8 A   
   1.30 keV   2.311E-01  2.128E+00      34 A        11 A         9 A   
   1.40 keV   2.398E-01  2.174E+00      36 A        12 A         9 A   
   1.50 keV   2.482E-01  2.217E+00      37 A        12 A         9 A   
   1.60 keV   2.563E-01  2.257E+00      39 A        13 A        10 A   
   1.70 keV   2.642E-01  2.294E+00      40 A        13 A        10 A   
   1.80 keV   2.719E-01  2.329E+00      41 A        13 A        10 A   
   2.00 keV   2.866E-01  2.392E+00      44 A        14 A        11 A   
   2.25 keV   3.040E-01  2.462E+00      48 A        15 A        12 A   
   2.50 keV   3.204E-01  2.523E+00      51 A        16 A        12 A   
   2.75 keV   3.361E-01  2.577E+00      54 A        17 A        13 A   
   3.00 keV   3.510E-01  2.624E+00      57 A        18 A        14 A   
   3.25 keV   3.654E-01  2.667E+00      61 A        19 A        15 A   
   3.50 keV   3.791E-01  2.706E+00      64 A        19 A        15 A   
   3.75 keV   3.925E-01  2.740E+00      67 A        20 A        16 A   
   4.00 keV   4.053E-01  2.772E+00      70 A        21 A        16 A   
   4.50 keV   4.299E-01  2.827E+00      76 A        22 A        18 A   
