 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/82Ga_in_c.txt

 Ion = Gallium      [31] , Mass = 81.94318 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 81.94318 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.616E-01  2.470E+00      31 A         9 A         6 A   
   1.10 keV   1.695E-01  2.572E+00      32 A         9 A         6 A   
   1.20 keV   1.770E-01  2.667E+00      33 A         9 A         7 A   
   1.30 keV   1.843E-01  2.757E+00      35 A        10 A         7 A   
   1.40 keV   1.912E-01  2.842E+00      36 A        10 A         7 A   
   1.50 keV   1.979E-01  2.921E+00      37 A        10 A         7 A   
   1.60 keV   2.044E-01  2.997E+00      39 A        10 A         8 A   
   1.70 keV   2.107E-01  3.069E+00      40 A        11 A         8 A   
   1.80 keV   2.168E-01  3.138E+00      41 A        11 A         8 A   
   2.00 keV   2.285E-01  3.266E+00      43 A        12 A         8 A   
   2.25 keV   2.424E-01  3.412E+00      46 A        12 A         9 A   
   2.50 keV   2.555E-01  3.545E+00      49 A        13 A         9 A   
   2.75 keV   2.680E-01  3.666E+00      51 A        13 A        10 A   
   3.00 keV   2.799E-01  3.778E+00      54 A        14 A        10 A   
   3.25 keV   2.913E-01  3.882E+00      56 A        14 A        11 A   
   3.50 keV   3.023E-01  3.978E+00      58 A        15 A        11 A   
   3.75 keV   3.129E-01  4.068E+00      61 A        15 A        12 A   
   4.00 keV   3.232E-01  4.153E+00      63 A        16 A        12 A   
   4.50 keV   3.428E-01  4.308E+00      67 A        17 A        13 A   
