 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/83Mo_in_c.txt

 Ion = Molybdenum   [42] , Mass = 82.95025 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 82.95025 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.654E-01  2.745E+00      29 A         8 A         6 A   
   1.10 keV   1.734E-01  2.866E+00      30 A         8 A         6 A   
   1.20 keV   1.811E-01  2.979E+00      31 A         9 A         6 A   
   1.30 keV   1.885E-01  3.085E+00      32 A         9 A         7 A   
   1.40 keV   1.957E-01  3.186E+00      34 A         9 A         7 A   
   1.50 keV   2.025E-01  3.281E+00      35 A        10 A         7 A   
   1.60 keV   2.092E-01  3.372E+00      36 A        10 A         7 A   
   1.70 keV   2.156E-01  3.459E+00      37 A        10 A         7 A   
   1.80 keV   2.219E-01  3.542E+00      38 A        10 A         8 A   
   2.00 keV   2.339E-01  3.698E+00      40 A        11 A         8 A   
   2.25 keV   2.480E-01  3.876E+00      42 A        11 A         8 A   
   2.50 keV   2.615E-01  4.039E+00      45 A        12 A         9 A   
   2.75 keV   2.742E-01  4.189E+00      47 A        12 A         9 A   
   3.00 keV   2.864E-01  4.328E+00      49 A        13 A        10 A   
   3.25 keV   2.981E-01  4.458E+00      51 A        13 A        10 A   
   3.50 keV   3.094E-01  4.579E+00      53 A        14 A        10 A   
   3.75 keV   3.202E-01  4.693E+00      55 A        14 A        11 A   
   4.00 keV   3.307E-01  4.801E+00      57 A        15 A        11 A   
   4.50 keV   3.508E-01  4.998E+00      61 A        16 A        12 A   
