 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/84Rb_in_c.txt

 Ion = Rubidium     [37] , Mass = 83.91438 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 83.91438 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.583E-01  2.618E+00      30 A         8 A         6 A   
   1.10 keV   1.660E-01  2.731E+00      31 A         9 A         6 A   
   1.20 keV   1.734E-01  2.836E+00      32 A         9 A         6 A   
   1.30 keV   1.804E-01  2.936E+00      34 A         9 A         7 A   
   1.40 keV   1.872E-01  3.029E+00      35 A        10 A         7 A   
   1.50 keV   1.938E-01  3.118E+00      36 A        10 A         7 A   
   1.60 keV   2.002E-01  3.202E+00      37 A        10 A         7 A   
   1.70 keV   2.063E-01  3.283E+00      38 A        10 A         8 A   
   1.80 keV   2.123E-01  3.359E+00      40 A        11 A         8 A   
   2.00 keV   2.238E-01  3.503E+00      42 A        11 A         8 A   
   2.25 keV   2.374E-01  3.668E+00      44 A        12 A         9 A   
   2.50 keV   2.502E-01  3.818E+00      47 A        12 A         9 A   
   2.75 keV   2.624E-01  3.955E+00      49 A        13 A         9 A   
   3.00 keV   2.741E-01  4.083E+00      51 A        13 A        10 A   
   3.25 keV   2.853E-01  4.201E+00      54 A        14 A        10 A   
   3.50 keV   2.961E-01  4.312E+00      56 A        14 A        11 A   
   3.75 keV   3.065E-01  4.416E+00      58 A        15 A        11 A   
   4.00 keV   3.165E-01  4.513E+00      60 A        15 A        11 A   
   4.50 keV   3.357E-01  4.693E+00      64 A        16 A        12 A   
