 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/c/86Y_in_c.txt

 Ion = Yttrium      [39] , Mass = 85.91489 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Yttrium      [39] , Mass = 85.91489 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.719E-01  2.650E+00      30 A         8 A         6 A   
   1.10 keV   1.803E-01  2.766E+00      31 A         8 A         6 A   
   1.20 keV   1.883E-01  2.874E+00      32 A         9 A         6 A   
   1.30 keV   1.960E-01  2.976E+00      33 A         9 A         7 A   
   1.40 keV   2.034E-01  3.072E+00      35 A         9 A         7 A   
   1.50 keV   2.105E-01  3.163E+00      36 A        10 A         7 A   
   1.60 keV   2.174E-01  3.250E+00      37 A        10 A         7 A   
   1.70 keV   2.241E-01  3.333E+00      38 A        10 A         7 A   
   1.80 keV   2.306E-01  3.412E+00      39 A        10 A         8 A   
   2.00 keV   2.431E-01  3.561E+00      41 A        11 A         8 A   
   2.25 keV   2.578E-01  3.730E+00      44 A        12 A         8 A   
   2.50 keV   2.718E-01  3.886E+00      46 A        12 A         9 A   
   2.75 keV   2.851E-01  4.028E+00      49 A        13 A         9 A   
   3.00 keV   2.977E-01  4.161E+00      51 A        13 A        10 A   
   3.25 keV   3.099E-01  4.284E+00      53 A        14 A        10 A   
   3.50 keV   3.216E-01  4.399E+00      55 A        14 A        10 A   
   3.75 keV   3.329E-01  4.507E+00      57 A        14 A        11 A   
   4.00 keV   3.438E-01  4.609E+00      59 A        15 A        11 A   
   4.50 keV   3.646E-01  4.796E+00      63 A        16 A        12 A   
