 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/105Sn_in_cd2.txt

 Ion = Tin          [50] , Mass = 104.9213 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 104.9213 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.624E-01  2.977E+00      62 A        14 A        10 A   
   1.10 keV   1.703E-01  3.114E+00      65 A        14 A        10 A   
   1.20 keV   1.779E-01  3.243E+00      67 A        15 A        10 A   
   1.30 keV   1.851E-01  3.365E+00      70 A        15 A        11 A   
   1.40 keV   1.921E-01  3.481E+00      72 A        16 A        11 A   
   1.50 keV   1.988E-01  3.591E+00      74 A        16 A        11 A   
   1.60 keV   2.054E-01  3.696E+00      77 A        17 A        12 A   
   1.70 keV   2.117E-01  3.796E+00      79 A        17 A        12 A   
   1.80 keV   2.178E-01  3.893E+00      81 A        17 A        12 A   
   2.00 keV   2.296E-01  4.074E+00      85 A        18 A        13 A   
   2.25 keV   2.435E-01  4.284E+00      90 A        19 A        14 A   
   2.50 keV   2.567E-01  4.476E+00      95 A        20 A        14 A   
   2.75 keV   2.692E-01  4.654E+00      99 A        21 A        15 A   
   3.00 keV   2.812E-01  4.820E+00     104 A        22 A        16 A   
   3.25 keV   2.927E-01  4.975E+00     108 A        22 A        16 A   
   3.50 keV   3.037E-01  5.120E+00     112 A        23 A        17 A   
   3.75 keV   3.144E-01  5.258E+00     116 A        24 A        17 A   
   4.00 keV   3.247E-01  5.388E+00     120 A        24 A        18 A   
