 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/106Rh_in_cd2.txt

 Ion = Rhodium      [45] , Mass = 105.9073 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 105.9073 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.540E-01  2.871E+00      64 A        14 A        10 A   
   1.10 keV   1.615E-01  3.002E+00      66 A        14 A        10 A   
   1.20 keV   1.687E-01  3.124E+00      69 A        15 A        11 A   
   1.30 keV   1.756E-01  3.240E+00      72 A        16 A        11 A   
   1.40 keV   1.823E-01  3.349E+00      74 A        16 A        11 A   
   1.50 keV   1.886E-01  3.453E+00      77 A        16 A        12 A   
   1.60 keV   1.948E-01  3.553E+00      79 A        17 A        12 A   
   1.70 keV   2.008E-01  3.648E+00      81 A        17 A        12 A   
   1.80 keV   2.067E-01  3.739E+00      84 A        18 A        13 A   
   2.00 keV   2.178E-01  3.910E+00      88 A        19 A        13 A   
   2.25 keV   2.310E-01  4.106E+00      93 A        20 A        14 A   
   2.50 keV   2.435E-01  4.287E+00      98 A        20 A        15 A   
   2.75 keV   2.554E-01  4.454E+00     103 A        21 A        15 A   
   3.00 keV   2.668E-01  4.609E+00     107 A        22 A        16 A   
   3.25 keV   2.777E-01  4.754E+00     112 A        23 A        17 A   
   3.50 keV   2.882E-01  4.890E+00     116 A        24 A        17 A   
   3.75 keV   2.983E-01  5.018E+00     120 A        24 A        18 A   
   4.00 keV   3.081E-01  5.139E+00     124 A        25 A        18 A   
