 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/124Pd_in_cd2.txt

 Ion = Palladium    [46] , Mass = 123.9373 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 123.9373 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.559E-01  2.728E+00      69 A        14 A        10 A   
   1.10 keV   1.635E-01  2.854E+00      72 A        15 A        10 A   
   1.20 keV   1.708E-01  2.974E+00      74 A        15 A        11 A   
   1.30 keV   1.778E-01  3.086E+00      77 A        16 A        11 A   
   1.40 keV   1.845E-01  3.193E+00      80 A        16 A        11 A   
   1.50 keV   1.910E-01  3.295E+00      82 A        17 A        12 A   
   1.60 keV   1.972E-01  3.393E+00      85 A        17 A        12 A   
   1.70 keV   2.033E-01  3.486E+00      87 A        17 A        12 A   
   1.80 keV   2.092E-01  3.575E+00      90 A        18 A        13 A   
   2.00 keV   2.205E-01  3.744E+00      94 A        19 A        13 A   
   2.25 keV   2.339E-01  3.938E+00     100 A        20 A        14 A   
   2.50 keV   2.465E-01  4.117E+00     105 A        20 A        15 A   
   2.75 keV   2.586E-01  4.282E+00     110 A        21 A        15 A   
   3.00 keV   2.701E-01  4.437E+00     114 A        22 A        16 A   
   3.25 keV   2.811E-01  4.581E+00     119 A        23 A        17 A   
   3.50 keV   2.917E-01  4.717E+00     124 A        24 A        17 A   
   3.75 keV   3.019E-01  4.845E+00     128 A        24 A        18 A   
   4.00 keV   3.119E-01  4.967E+00     132 A        25 A        18 A   
