 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/138Sb_in_cd2.txt

 Ion = Antimony     [51] , Mass = 137.9413 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 137.9413 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.427E-01  2.696E+00      72 A        14 A        10 A   
   1.10 keV   1.497E-01  2.824E+00      75 A        15 A        10 A   
   1.20 keV   1.563E-01  2.946E+00      77 A        15 A        11 A   
   1.30 keV   1.627E-01  3.061E+00      80 A        16 A        11 A   
   1.40 keV   1.688E-01  3.171E+00      83 A        16 A        11 A   
   1.50 keV   1.748E-01  3.275E+00      86 A        17 A        12 A   
   1.60 keV   1.805E-01  3.375E+00      88 A        17 A        12 A   
   1.70 keV   1.861E-01  3.471E+00      91 A        17 A        12 A   
   1.80 keV   1.914E-01  3.563E+00      93 A        18 A        13 A   
   2.00 keV   2.018E-01  3.737E+00      98 A        19 A        13 A   
   2.25 keV   2.140E-01  3.937E+00     103 A        20 A        14 A   
   2.50 keV   2.256E-01  4.123E+00     108 A        20 A        14 A   
   2.75 keV   2.366E-01  4.295E+00     113 A        21 A        15 A   
   3.00 keV   2.472E-01  4.457E+00     118 A        22 A        16 A   
   3.25 keV   2.572E-01  4.608E+00     123 A        23 A        16 A   
   3.50 keV   2.670E-01  4.750E+00     127 A        24 A        17 A   
   3.75 keV   2.763E-01  4.885E+00     131 A        24 A        17 A   
   4.00 keV   2.854E-01  5.013E+00     136 A        25 A        18 A   
