 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/147La_in_cd2.txt

 Ion = Lanthanum    [57] , Mass = 146.9284 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 146.9284 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.416E-01  2.709E+00      73 A        14 A        10 A   
   1.10 keV   1.485E-01  2.841E+00      76 A        14 A        10 A   
   1.20 keV   1.551E-01  2.966E+00      79 A        15 A        10 A   
   1.30 keV   1.615E-01  3.085E+00      81 A        15 A        11 A   
   1.40 keV   1.676E-01  3.198E+00      84 A        16 A        11 A   
   1.50 keV   1.735E-01  3.306E+00      87 A        16 A        11 A   
   1.60 keV   1.791E-01  3.410E+00      89 A        17 A        12 A   
   1.70 keV   1.847E-01  3.509E+00      92 A        17 A        12 A   
   1.80 keV   1.900E-01  3.605E+00      94 A        18 A        12 A   
   2.00 keV   2.003E-01  3.785E+00      98 A        18 A        13 A   
   2.25 keV   2.124E-01  3.995E+00     104 A        19 A        14 A   
   2.50 keV   2.239E-01  4.189E+00     109 A        20 A        14 A   
   2.75 keV   2.349E-01  4.369E+00     114 A        21 A        15 A   
   3.00 keV   2.453E-01  4.539E+00     119 A        22 A        15 A   
   3.25 keV   2.553E-01  4.698E+00     123 A        23 A        16 A   
   3.50 keV   2.650E-01  4.848E+00     128 A        23 A        17 A   
   3.75 keV   2.743E-01  4.991E+00     132 A        24 A        17 A   
   4.00 keV   2.833E-01  5.126E+00     136 A        25 A        18 A   
