 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/179Pb_in_cd2.txt

 Ion = Lead         [82] , Mass = 179.0022 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 179.0022 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.228E-01  2.718E+00      68 A        11 A         8 A   
   1.10 keV   4.434E-01  2.860E+00      71 A        12 A         8 A   
   1.20 keV   4.631E-01  2.994E+00      74 A        12 A         8 A   
   1.30 keV   4.820E-01  3.122E+00      76 A        13 A         9 A   
   1.40 keV   5.002E-01  3.245E+00      79 A        13 A         9 A   
   1.50 keV   5.178E-01  3.363E+00      81 A        13 A         9 A   
   1.60 keV   5.348E-01  3.476E+00      84 A        14 A        10 A   
   1.70 keV   5.512E-01  3.585E+00      86 A        14 A        10 A   
   1.80 keV   5.672E-01  3.690E+00      88 A        14 A        10 A   
   2.00 keV   5.979E-01  3.890E+00      92 A        15 A        10 A   
   2.25 keV   6.342E-01  4.123E+00      97 A        16 A        11 A   
   2.50 keV   6.685E-01  4.341E+00     101 A        17 A        11 A   
   2.75 keV   7.011E-01  4.545E+00     106 A        17 A        12 A   
   3.00 keV   7.323E-01  4.738E+00     110 A        18 A        12 A   
   3.25 keV   7.622E-01  4.920E+00     114 A        19 A        13 A   
   3.50 keV   7.909E-01  5.093E+00     118 A        19 A        13 A   
   3.75 keV   8.187E-01  5.258E+00     122 A        20 A        14 A   
   4.00 keV   8.455E-01  5.416E+00     125 A        20 A        14 A   
