 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/205Rn_in_cd2.txt

 Ion = Radon        [86] , Mass = 204.9917 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Radon        [86] , Mass = 204.9917 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.383E-01  2.577E+00      72 A        11 A         8 A   
   1.10 keV   4.597E-01  2.714E+00      75 A        12 A         8 A   
   1.20 keV   4.801E-01  2.844E+00      78 A        12 A         8 A   
   1.30 keV   4.997E-01  2.967E+00      81 A        12 A         9 A   
   1.40 keV   5.186E-01  3.086E+00      83 A        13 A         9 A   
   1.50 keV   5.368E-01  3.200E+00      86 A        13 A         9 A   
   1.60 keV   5.544E-01  3.310E+00      88 A        14 A         9 A   
   1.70 keV   5.714E-01  3.416E+00      90 A        14 A        10 A   
   1.80 keV   5.880E-01  3.518E+00      93 A        14 A        10 A   
   2.00 keV   6.198E-01  3.712E+00      97 A        15 A        10 A   
   2.25 keV   6.574E-01  3.940E+00     102 A        16 A        11 A   
   2.50 keV   6.930E-01  4.153E+00     107 A        16 A        11 A   
   2.75 keV   7.268E-01  4.353E+00     111 A        17 A        12 A   
   3.00 keV   7.591E-01  4.542E+00     116 A        18 A        12 A   
   3.25 keV   7.901E-01  4.721E+00     120 A        18 A        13 A   
   3.50 keV   8.199E-01  4.891E+00     124 A        19 A        13 A   
   3.75 keV   8.487E-01  5.054E+00     128 A        19 A        13 A   
   4.00 keV   8.765E-01  5.209E+00     132 A        20 A        14 A   
