 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/230U_in_cd2.txt

 Ion = Uranium      [92] , Mass = 230.0339 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Uranium      [92] , Mass = 230.0339 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.450E-01  2.472E+00      76 A        11 A         8 A   
   1.10 keV   4.667E-01  2.605E+00      79 A        12 A         8 A   
   1.20 keV   4.875E-01  2.731E+00      82 A        12 A         8 A   
   1.30 keV   5.074E-01  2.852E+00      85 A        12 A         8 A   
   1.40 keV   5.265E-01  2.968E+00      87 A        13 A         9 A   
   1.50 keV   5.450E-01  3.080E+00      90 A        13 A         9 A   
   1.60 keV   5.629E-01  3.188E+00      92 A        13 A         9 A   
   1.70 keV   5.802E-01  3.291E+00      95 A        14 A         9 A   
   1.80 keV   5.970E-01  3.392E+00      97 A        14 A        10 A   
   2.00 keV   6.293E-01  3.583E+00     101 A        15 A        10 A   
   2.25 keV   6.675E-01  3.808E+00     107 A        15 A        11 A   
   2.50 keV   7.036E-01  4.018E+00     111 A        16 A        11 A   
   2.75 keV   7.380E-01  4.215E+00     116 A        17 A        12 A   
   3.00 keV   7.708E-01  4.403E+00     121 A        17 A        12 A   
   3.25 keV   8.022E-01  4.580E+00     125 A        18 A        12 A   
   3.50 keV   8.325E-01  4.749E+00     129 A        19 A        13 A   
   3.75 keV   8.618E-01  4.911E+00     133 A        19 A        13 A   
   4.00 keV   8.900E-01  5.066E+00     137 A        20 A        13 A   
