 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/37Na_in_cd2.txt

 Ion = Sodium       [11] , Mass = 37.05704 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 37.05704 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.439E-01  1.929E+00      63 A        19 A        14 A   
   1.10 keV   1.509E-01  1.977E+00      67 A        20 A        15 A   
   1.20 keV   1.576E-01  2.019E+00      71 A        21 A        16 A   
   1.30 keV   1.641E-01  2.058E+00      75 A        22 A        17 A   
   1.40 keV   1.703E-01  2.094E+00      78 A        22 A        17 A   
   1.50 keV   1.762E-01  2.126E+00      82 A        23 A        18 A   
   1.60 keV   1.820E-01  2.155E+00      85 A        24 A        19 A   
   1.70 keV   1.876E-01  2.183E+00      89 A        25 A        19 A   
   1.80 keV   1.931E-01  2.208E+00      92 A        26 A        20 A   
   2.00 keV   2.035E-01  2.253E+00      99 A        27 A        21 A   
   2.25 keV   2.159E-01  2.301E+00     107 A        29 A        23 A   
   2.50 keV   2.275E-01  2.341E+00     115 A        31 A        25 A   
   2.75 keV   2.386E-01  2.376E+00     123 A        33 A        26 A   
   3.00 keV   2.492E-01  2.406E+00     131 A        35 A        28 A   
   3.25 keV   2.594E-01  2.431E+00     139 A        37 A        29 A   
   3.50 keV   2.692E-01  2.453E+00     147 A        38 A        30 A   
   3.75 keV   2.787E-01  2.472E+00     154 A        40 A        32 A   
   4.00 keV   2.878E-01  2.488E+00     162 A        42 A        33 A   
