 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/43Si_in_cd2.txt

 Ion = Silicon      [14] , Mass = 43.02612 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 43.02612 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.335E-01  2.182E+00      59 A        17 A        13 A   
   1.10 keV   2.449E-01  2.244E+00      62 A        17 A        13 A   
   1.20 keV   2.558E-01  2.300E+00      65 A        18 A        14 A   
   1.30 keV   2.663E-01  2.352E+00      68 A        19 A        14 A   
   1.40 keV   2.763E-01  2.400E+00      72 A        20 A        15 A   
   1.50 keV   2.860E-01  2.444E+00      75 A        20 A        16 A   
   1.60 keV   2.954E-01  2.485E+00      78 A        21 A        16 A   
   1.70 keV   3.045E-01  2.523E+00      81 A        22 A        17 A   
   1.80 keV   3.133E-01  2.558E+00      83 A        22 A        17 A   
   2.00 keV   3.303E-01  2.622E+00      89 A        24 A        18 A   
   2.25 keV   3.503E-01  2.692E+00      96 A        25 A        20 A   
   2.50 keV   3.692E-01  2.753E+00     103 A        27 A        21 A   
   2.75 keV   3.873E-01  2.806E+00     109 A        28 A        22 A   
   3.00 keV   4.045E-01  2.853E+00     116 A        29 A        23 A   
   3.25 keV   4.210E-01  2.895E+00     122 A        31 A        24 A   
   3.50 keV   4.369E-01  2.932E+00     129 A        32 A        26 A   
   3.75 keV   4.522E-01  2.965E+00     135 A        33 A        27 A   
   4.00 keV   4.670E-01  2.995E+00     141 A        35 A        28 A   
