 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/52Cu_in_cd2.txt

 Ion = Copper       [29] , Mass = 51.99798 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 51.99798 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.329E-01  2.988E+00      51 A        15 A        11 A   
   1.10 keV   1.394E-01  3.099E+00      54 A        15 A        11 A   
   1.20 keV   1.456E-01  3.202E+00      56 A        16 A        12 A   
   1.30 keV   1.516E-01  3.298E+00      59 A        16 A        12 A   
   1.40 keV   1.573E-01  3.387E+00      61 A        17 A        13 A   
   1.50 keV   1.628E-01  3.471E+00      63 A        18 A        13 A   
   1.60 keV   1.681E-01  3.551E+00      65 A        18 A        14 A   
   1.70 keV   1.733E-01  3.626E+00      68 A        19 A        14 A   
   1.80 keV   1.783E-01  3.697E+00      70 A        19 A        14 A   
   2.00 keV   1.880E-01  3.828E+00      74 A        20 A        15 A   
   2.25 keV   1.994E-01  3.976E+00      79 A        21 A        16 A   
   2.50 keV   2.102E-01  4.109E+00      84 A        22 A        17 A   
   2.75 keV   2.204E-01  4.229E+00      89 A        23 A        18 A   
   3.00 keV   2.302E-01  4.338E+00      93 A        25 A        19 A   
   3.25 keV   2.396E-01  4.439E+00      98 A        26 A        20 A   
   3.50 keV   2.487E-01  4.531E+00     102 A        26 A        20 A   
   3.75 keV   2.574E-01  4.617E+00     107 A        27 A        21 A   
   4.00 keV   2.659E-01  4.696E+00     111 A        28 A        22 A   
