 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/6Li_in_cd2.txt

 Ion = Lithium      [3] , Mass = 6.015123 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lithium      [3] , Mass = 6.015123 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.346E-01  4.293E-01     123 A        61 A        44 A   
   1.10 keV   1.411E-01  4.235E-01     135 A        67 A        48 A   
   1.20 keV   1.474E-01  4.176E-01     146 A        72 A        51 A   
   1.30 keV   1.534E-01  4.118E-01     158 A        77 A        55 A   
   1.40 keV   1.592E-01  4.061E-01     170 A        82 A        59 A   
   1.50 keV   1.648E-01  4.005E-01     182 A        87 A        62 A   
   1.60 keV   1.702E-01  3.950E-01     193 A        92 A        66 A   
   1.70 keV   1.754E-01  3.896E-01     205 A        97 A        69 A   
   1.80 keV   1.805E-01  3.843E-01     217 A       102 A        73 A   
   2.00 keV   1.903E-01  3.743E-01     242 A       111 A        80 A   
   2.25 keV   2.018E-01  3.624E-01     272 A       123 A        89 A   
   2.50 keV   2.128E-01  3.514E-01     303 A       135 A        98 A   
   2.75 keV   2.231E-01  3.411E-01     334 A       147 A       107 A   
   3.00 keV   2.331E-01  3.315E-01     365 A       158 A       116 A   
   3.25 keV   2.426E-01  3.225E-01     396 A       170 A       124 A   
   3.50 keV   2.517E-01  3.140E-01     428 A       181 A       133 A   
   3.75 keV   2.606E-01  3.061E-01     460 A       192 A       142 A   
   4.00 keV   2.691E-01  2.987E-01     492 A       202 A       150 A   
