 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/cd2/91Ru_in_cd2.txt

 Ion = Ruthenium    [44] , Mass = 90.92674 amu

 Density =  1.0600E+00 g/cm3 = 1.1958E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ruthenium    [44] , Mass = 90.92674 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.615E-01  3.005E+00      59 A        14 A        10 A   
   1.10 keV   1.694E-01  3.138E+00      62 A        14 A        10 A   
   1.20 keV   1.770E-01  3.263E+00      64 A        15 A        11 A   
   1.30 keV   1.842E-01  3.380E+00      67 A        15 A        11 A   
   1.40 keV   1.911E-01  3.492E+00      69 A        16 A        11 A   
   1.50 keV   1.978E-01  3.597E+00      71 A        16 A        12 A   
   1.60 keV   2.043E-01  3.698E+00      74 A        17 A        12 A   
   1.70 keV   2.106E-01  3.794E+00      76 A        17 A        12 A   
   1.80 keV   2.167E-01  3.886E+00      78 A        18 A        13 A   
   2.00 keV   2.284E-01  4.058E+00      82 A        18 A        13 A   
   2.25 keV   2.423E-01  4.256E+00      87 A        19 A        14 A   
   2.50 keV   2.554E-01  4.437E+00      92 A        20 A        15 A   
   2.75 keV   2.679E-01  4.604E+00      96 A        21 A        15 A   
   3.00 keV   2.798E-01  4.759E+00     101 A        22 A        16 A   
   3.25 keV   2.912E-01  4.904E+00     105 A        23 A        17 A   
   3.50 keV   3.022E-01  5.039E+00     109 A        24 A        17 A   
   3.75 keV   3.128E-01  5.166E+00     113 A        24 A        18 A   
   4.00 keV   3.231E-01  5.286E+00     117 A        25 A        19 A   
