 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/113Nb_in_ch2.txt

 Ion = Niobium      [41] , Mass = 112.9568 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Niobium      [41] , Mass = 112.9568 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.833E-01  2.844E+00      73 A        16 A        11 A   
   1.10 keV   1.923E-01  2.976E+00      77 A        17 A        12 A   
   1.20 keV   2.008E-01  3.100E+00      80 A        17 A        12 A   
   1.30 keV   2.090E-01  3.217E+00      83 A        18 A        13 A   
   1.40 keV   2.169E-01  3.328E+00      85 A        18 A        13 A   
   1.50 keV   2.245E-01  3.433E+00      88 A        19 A        13 A   
   1.60 keV   2.319E-01  3.534E+00      91 A        19 A        14 A   
   1.70 keV   2.390E-01  3.631E+00      93 A        20 A        14 A   
   1.80 keV   2.460E-01  3.723E+00      96 A        20 A        14 A   
   2.00 keV   2.593E-01  3.898E+00     101 A        21 A        15 A   
   2.25 keV   2.750E-01  4.099E+00     107 A        22 A        16 A   
   2.50 keV   2.899E-01  4.284E+00     112 A        23 A        17 A   
   2.75 keV   3.040E-01  4.455E+00     118 A        24 A        18 A   
   3.00 keV   3.175E-01  4.614E+00     123 A        25 A        18 A   
   3.25 keV   3.305E-01  4.764E+00     128 A        26 A        19 A   
   3.50 keV   3.430E-01  4.904E+00     133 A        27 A        20 A   
   3.75 keV   3.550E-01  5.036E+00     137 A        28 A        20 A   
   4.00 keV   3.667E-01  5.162E+00     142 A        28 A        21 A   
