 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/129Cs_in_ch2.txt

 Ion = Cesium       [55] , Mass = 128.9061 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cesium       [55] , Mass = 128.9061 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.794E-01  2.943E+00      75 A        16 A        11 A   
   1.10 keV   1.882E-01  3.087E+00      78 A        16 A        11 A   
   1.20 keV   1.966E-01  3.223E+00      81 A        17 A        12 A   
   1.30 keV   2.046E-01  3.352E+00      84 A        17 A        12 A   
   1.40 keV   2.123E-01  3.476E+00      86 A        18 A        13 A   
   1.50 keV   2.198E-01  3.593E+00      89 A        18 A        13 A   
   1.60 keV   2.270E-01  3.706E+00      92 A        19 A        13 A   
   1.70 keV   2.340E-01  3.814E+00      94 A        19 A        14 A   
   1.80 keV   2.407E-01  3.918E+00      96 A        20 A        14 A   
   2.00 keV   2.538E-01  4.115E+00     101 A        21 A        15 A   
   2.25 keV   2.692E-01  4.343E+00     107 A        22 A        15 A   
   2.50 keV   2.837E-01  4.554E+00     112 A        22 A        16 A   
   2.75 keV   2.976E-01  4.751E+00     117 A        23 A        17 A   
   3.00 keV   3.108E-01  4.936E+00     122 A        24 A        17 A   
   3.25 keV   3.235E-01  5.109E+00     127 A        25 A        18 A   
   3.50 keV   3.357E-01  5.273E+00     131 A        26 A        19 A   
   3.75 keV   3.475E-01  5.429E+00     136 A        27 A        19 A   
   4.00 keV   3.589E-01  5.576E+00     140 A        27 A        20 A   
